6st1av_o,14av8st_o,10st23av_o,clintwash_o,vahosp_o

Block: 4-----------------------
--,--,--,15:00:00,15:06:00
15:13:00,15:17:00,15:21:00,16:00:00,16:06:00
16:13:00,16:17:00,16:21:00,17:00:00,17:06:00
17:13:00,17:17:00,17:21:00,--,--

Block: 31-----------------------
06:13:00,06:17:00,06:21:00,07:00:00,07:06:00
07:13:00,07:17:00,07:21:00,08:00:00,08:06:00
08:13:00,08:17:00,08:21:00,09:00:00,09:06:00
09:13:00,09:17:00,09:21:00,10:00:00,10:06:00
10:13:00,10:17:00,10:21:00,11:00:00,11:06:00
11:13:00,11:17:00,11:21:00,12:00:00,12:06:00
12:13:00,12:17:00,12:21:00,--,--

Block: 32-----------------------
--,--,--,13:00:00,13:06:00
13:13:00,13:17:00,13:21:00,14:00:00,14:06:00
14:13:00,14:17:00,14:21:00,--,--

Block: 61-----------------------
--,--,--,06:30:00,06:36:00
06:43:00,06:47:00,06:51:00,07:30:00,07:36:00
07:43:00,07:47:00,07:51:00,08:30:00,08:36:00
08:43:00,08:47:00,08:51:00,--,--

Block: 62-----------------------
--,--,--,15:30:00,15:36:00
15:43:00,15:47:00,15:51:00,16:30:00,16:36:00
16:43:00,16:47:00,16:51:00,17:30:00,17:36:00
17:43:00,17:47:00,17:51:00,--,--
