crlrdmall_i,14av8st_i,6st4av_i,hardlib_i,clintwash_a

Block: 2-----------------------
06:34:00,06:40:00,06:45:00,06:51:00,06:57:00
07:34:00,07:40:00,07:45:00,07:51:00,07:57:00
08:34:00,08:40:00,08:45:00,08:51:00,08:57:00

Block: 5-----------------------
06:04:00,06:10:00,06:15:00,06:21:00,06:27:00
07:04:00,07:10:00,07:15:00,07:21:00,07:27:00
08:04:00,08:10:00,08:15:00,08:21:00,08:27:00
09:04:00,09:10:00,09:15:00,09:21:00,09:27:00

Block: 11-----------------------
09:54:00,10:00:00,10:05:00,10:11:00,10:17:00
10:54:00,11:00:00,11:05:00,11:11:00,11:17:00
11:54:00,12:00:00,12:05:00,12:11:00,12:17:00

Block: 12-----------------------
12:54:00,13:00:00,13:05:00,13:11:00,13:17:00
13:54:00,14:00:00,14:05:00,14:11:00,14:17:00
14:54:00,15:00:00,15:05:00,15:11:00,15:17:00

Block: 13-----------------------
16:04:00,16:10:00,16:15:00,16:21:00,16:27:00
17:04:00,17:10:00,17:15:00,17:21:00,17:27:00
18:04:00,18:10:00,18:15:00,18:21:00,18:27:00

Block: 33-----------------------
15:34:00,15:40:00,15:45:00,15:51:00,15:57:00
16:34:00,16:40:00,16:45:00,16:51:00,16:57:00
17:34:00,17:40:00,17:45:00,17:51:00,17:57:00
