librhldy_i,hldysrdg_i,hldynrdg_i,hldycoral_i,crlrdmall_a

Block: 72-----------------------
09:04:00,09:05:00,09:07:00,09:09:00,09:15:00
09:34:00,09:35:00,09:37:00,09:39:00,09:45:00
10:04:00,10:05:00,10:07:00,10:09:00,10:15:00
10:34:00,10:35:00,10:37:00,10:39:00,10:45:00
11:04:00,11:05:00,11:07:00,11:09:00,11:15:00

Block: 73-----------------------
11:34:00,11:35:00,11:37:00,11:39:00,11:45:00
12:04:00,12:05:00,12:07:00,12:09:00,12:15:00
12:34:00,12:35:00,12:37:00,12:39:00,12:45:00
13:04:00,13:05:00,13:07:00,13:09:00,13:15:00
13:34:00,13:35:00,13:37:00,13:39:00,13:45:00
14:04:00,14:05:00,14:07:00,14:09:00,14:15:00
