crlrdmall_i,14av8st_i,6st4av_i,1av5st_i,hardlib_i,clintwash_a

Block: 81-----------------------
18:32:00,18:39:00,18:45:00,18:48:00,18:54:00,19:00:00
19:32:00,19:39:00,19:45:00,19:48:00,19:54:00,20:00:00
20:32:00,20:39:00,20:45:00,20:48:00,20:54:00,21:00:00
21:32:00,21:39:00,21:45:00,21:48:00,21:54:00,22:00:00

Block: 82-----------------------
22:42:00,22:49:00,22:55:00,22:58:00,23:04:00,23:10:00
23:42:00,23:49:00,23:55:00,23:58:00,00:04:00,00:10:00

Block: 83-----------------------
22:42:00,22:49:00,22:55:00,22:58:00,23:04:00,23:10:00

Block: 111-----------------------
07:22:00,07:29:00,07:35:00,07:38:00,07:44:00,07:50:00
08:22:00,08:29:00,08:35:00,08:38:00,08:44:00,08:50:00
09:22:00,09:29:00,09:35:00,09:38:00,09:44:00,09:50:00
10:22:00,10:29:00,10:35:00,10:38:00,10:44:00,10:50:00
11:22:00,11:29:00,11:35:00,11:38:00,11:44:00,11:50:00

Block: 112-----------------------
12:37:00,12:44:00,12:50:00,12:53:00,12:59:00,13:05:00
13:37:00,13:44:00,13:50:00,13:53:00,13:59:00,14:05:00
14:37:00,14:44:00,14:50:00,14:53:00,14:59:00,15:05:00
15:37:00,15:44:00,15:50:00,15:53:00,15:59:00,16:05:00
16:37:00,16:44:00,16:50:00,16:53:00,16:59:00,17:05:00
17:37:00,17:44:00,17:50:00,17:53:00,17:59:00,18:05:00

Block: 113-----------------------
18:52:00,18:59:00,19:05:00,19:08:00,19:14:00,19:20:00
19:52:00,19:59:00,20:05:00,--,--,--
