kcolhigh_i,highkuk_i,benclint_i,downinteb_a

Block: 3-----------------------
07:46:00,07:49:00,07:53:00,07:57:00
09:46:00,09:49:00,09:53:00,09:57:00
11:46:00,11:49:00,11:53:00,11:57:00
13:46:00,13:49:00,13:53:00,13:57:00

Block: 4-----------------------
06:46:00,06:49:00,06:53:00,06:57:00
08:46:00,08:49:00,08:53:00,08:57:00
10:46:00,10:49:00,10:53:00,10:57:00
12:46:00,12:49:00,12:53:00,12:57:00

Block: 33-----------------------
15:46:00,15:49:00,15:53:00,15:57:00
17:46:00,17:49:00,17:53:00,17:57:00

Block: 34-----------------------
14:46:00,14:49:00,14:53:00,14:57:00
16:46:00,16:49:00,16:53:00,16:57:00
18:46:00,18:49:00,18:53:00,18:57:00

Block: 53-----------------------
06:16:00,06:19:00,06:23:00,06:27:00
08:16:00,08:19:00,08:23:00,08:27:00
16:16:00,16:19:00,16:23:00,16:27:00
18:16:00,18:19:00,18:23:00,18:27:00

Block: 54-----------------------
07:16:00,07:19:00,07:23:00,07:27:00
15:16:00,15:19:00,15:23:00,15:27:00
17:16:00,17:19:00,17:23:00,17:27:00
