cour1st_i,burlsumm_i,downinte_a

Block: 1-----------------------
07:31:00,07:35:00,07:40:00
09:31:00,09:35:00,09:40:00
11:31:00,11:35:00,11:40:00
13:31:00,13:35:00,13:40:00

Block: 2-----------------------
06:31:00,06:35:00,06:40:00
08:31:00,08:35:00,08:40:00
10:31:00,10:35:00,10:40:00
12:31:00,12:35:00,12:40:00

Block: 32-----------------------
14:31:00,14:35:00,14:40:00
16:31:00,16:35:00,16:40:00
18:31:00,18:35:00,18:40:00
20:31:00,20:35:00,20:40:00

Block: 51-----------------------
08:01:00,08:05:00,08:10:00
16:01:00,16:05:00,16:10:00
18:01:00,18:05:00,18:10:00

Block: 52-----------------------
07:01:00,07:05:00,07:10:00
09:01:00,09:05:00,09:10:00
15:01:00,15:05:00,15:10:00
17:01:00,17:05:00,17:10:00

Block: 61-----------------------
15:31:00,15:35:00,15:40:00
17:31:00,17:35:00,17:40:00

Block: 71-----------------------
19:31:00,19:35:00,19:40:00
21:31:00,21:35:00,21:40:00

Block: 101-----------------------
07:31:00,07:35:00,07:40:00
09:31:00,09:35:00,09:40:00
11:31:00,11:35:00,11:40:00
13:31:00,13:35:00,13:40:00

Block: 102-----------------------
06:31:00,06:35:00,06:40:00
08:31:00,08:35:00,08:40:00
10:31:00,10:35:00,10:40:00
12:31:00,12:35:00,12:40:00

Block: 132-----------------------
14:31:00,14:35:00,14:40:00
16:31:00,16:35:00,16:40:00
18:31:00,18:35:00,18:40:00

Block: 161-----------------------
15:31:00,15:35:00,15:40:00
17:31:00,17:35:00,17:40:00
