downinte_d,burlsumm_o,cour1st_o,friecour_a,courfrie_o

Block: 1-----------------------
07:15:00,07:21:00,07:25:00,07:28:00,07:28:00
09:15:00,09:21:00,09:25:00,09:28:00,09:28:00
11:15:00,11:21:00,11:25:00,11:28:00,11:28:00
13:15:00,13:21:00,13:25:00,13:28:00,13:28:00

Block: 2-----------------------
--,--,06:25:00,06:28:00,06:28:00
08:15:00,08:21:00,08:25:00,08:28:00,08:29:00
10:15:00,10:21:00,10:25:00,10:28:00,10:28:00
12:15:00,12:21:00,12:25:00,12:28:00,12:29:00

Block: 32-----------------------
14:15:00,14:21:00,14:25:00,14:28:00,14:28:00
16:15:00,16:21:00,16:25:00,16:28:00,16:28:00
18:15:00,18:21:00,18:25:00,18:28:00,18:28:00
20:15:00,20:21:00,20:25:00,20:28:00,20:28:00

Block: 51-----------------------
07:45:00,07:51:00,07:55:00,07:58:00,07:58:00
15:45:00,15:51:00,15:55:00,15:58:00,15:58:00
17:45:00,17:51:00,17:55:00,17:58:00,17:58:00

Block: 52-----------------------
06:45:00,06:51:00,06:55:00,06:58:00,06:58:00
08:45:00,08:51:00,08:55:00,08:58:00,08:58:00
14:45:00,14:51:00,14:55:00,14:58:00,14:58:00
16:45:00,16:51:00,16:55:00,16:58:00,16:58:00

Block: 61-----------------------
15:15:00,15:21:00,15:25:00,15:28:00,15:28:00
17:15:00,17:21:00,17:25:00,17:28:00,17:28:00

Block: 71-----------------------
19:15:00,19:21:00,19:25:00,19:28:00,19:28:00
21:15:00,21:21:00,21:25:00,21:28:00,21:28:00

Block: 101-----------------------
07:15:00,07:21:00,07:25:00,07:28:00,07:28:00
09:15:00,09:21:00,09:25:00,09:28:00,09:28:00
11:15:00,11:21:00,11:25:00,11:28:00,11:28:00
13:15:00,13:21:00,13:25:00,13:28:00,13:28:00

Block: 102-----------------------
--,--,06:25:00,06:28:00,06:28:00
08:15:00,08:21:00,08:25:00,08:28:00,08:28:00
10:15:00,10:21:00,10:25:00,10:28:00,10:28:00
12:15:00,12:21:00,12:25:00,12:28:00,12:28:00

Block: 132-----------------------
14:15:00,14:21:00,14:25:00,14:28:00,14:28:00
16:15:00,16:21:00,16:25:00,16:28:00,16:28:00
18:15:00,18:21:00,18:25:00,18:28:00,18:28:00

Block: 161-----------------------
15:15:00,15:21:00,15:25:00,15:28:00,15:28:00
17:15:00,17:21:00,17:25:00,17:28:00,17:28:00
