downinteb_o,cortpetr_o,huntcard_o

Block: 20-----------------------
11:00:00,11:08:00,11:13:00
13:15:00,13:23:00,13:28:00
15:15:00,15:23:00,15:28:00
17:15:00,17:23:00,17:28:00

Block: 29-----------------------
12:15:00,12:23:00,12:28:00
14:15:00,14:23:00,14:28:00
16:15:00,16:23:00,16:28:00
18:15:00,18:23:00,18:28:00

Block: 40-----------------------
07:00:00,07:08:00,07:13:00
09:00:00,09:08:00,09:13:00

Block: 49-----------------------
--,06:08:00,06:13:00
08:00:00,08:08:00,08:13:00
10:00:00,10:08:00,10:13:00
