hollfron_o,bonaire_o,downinteb_o,gilbkirk_o,sgatekuk_o

Block: 1-----------------------
06:05:00,06:08:00,07:45:00,07:51:00,07:55:00
08:00:00,08:03:00,09:45:00,09:51:00,09:55:00
10:00:00,10:03:00,11:45:00,11:51:00,11:55:00
12:00:00,12:03:00,--,--,--

Block: 2-----------------------
--,--,06:45:00,06:51:00,06:55:00
07:00:00,07:03:00,08:45:00,08:51:00,08:55:00
09:00:00,09:03:00,10:45:00,10:51:00,10:55:00
11:00:00,11:03:00,12:45:00,12:51:00,12:55:00
13:00:00,13:03:00,--,--,--

Block: 32-----------------------
--,--,14:45:00,14:51:00,14:55:00
15:00:00,15:03:00,16:45:00,16:51:00,16:55:00
17:00:00,17:03:00,18:45:00,18:51:00,18:55:00
19:00:00,19:03:00,20:45:00,20:51:00,20:55:00
21:00:00,--,--,--,--

Block: 51-----------------------
06:35:00,06:38:00,08:15:00,08:21:00,08:25:00
08:30:00,08:33:00,16:15:00,16:21:00,16:25:00
16:30:00,16:33:00,18:15:00,18:21:00,18:25:00
18:30:00,18:33:00,--,--,--

Block: 52-----------------------
--,--,07:15:00,07:21:00,07:25:00
07:30:00,07:33:00,15:15:00,15:21:00,15:25:00
15:30:00,15:33:00,17:15:00,17:21:00,17:25:00
17:30:00,17:33:00,--,--,--

Block: 61-----------------------
--,--,13:45:00,13:51:00,13:55:00
14:00:00,14:03:00,15:45:00,15:51:00,15:55:00
16:00:00,16:03:00,17:45:00,17:51:00,17:55:00
18:00:00,18:03:00,--,--,--

Block: 71-----------------------
--,--,19:45:00,19:51:00,19:55:00
20:00:00,20:03:00,21:45:00,21:51:00,21:55:00
22:00:00,--,--,--,--

Block: 101-----------------------
06:05:00,06:08:00,07:45:00,07:51:00,07:55:00
08:00:00,08:03:00,09:45:00,09:51:00,09:55:00
10:00:00,10:03:00,11:45:00,11:51:00,11:55:00
12:00:00,12:03:00,--,--,--

Block: 102-----------------------
--,--,06:45:00,06:51:00,06:55:00
07:00:00,07:03:00,08:45:00,08:51:00,08:55:00
09:00:00,09:03:00,10:45:00,10:51:00,10:55:00
11:00:00,11:03:00,12:45:00,12:51:00,12:55:00
13:00:00,13:03:00,--,--,--

Block: 132-----------------------
--,--,14:45:00,14:51:00,14:55:00
15:00:00,15:03:00,16:45:00,16:51:00,16:55:00
17:00:00,17:03:00,18:45:00,18:51:00,18:55:00
19:00:00,19:03:00,--,--,--

Block: 161-----------------------
--,--,13:45:00,13:51:00,13:55:00
14:00:00,14:03:00,15:45:00,15:51:00,15:55:00
16:00:00,16:03:00,17:45:00,17:51:00,17:55:00
18:00:00,18:03:00,--,--,--
