sycmlth_i,kirkdodg_i,downinteb_a

Block: 6-----------------------
06:28:00,06:33:00,06:40:00
08:28:00,08:33:00,08:40:00
10:28:00,10:33:00,10:40:00
12:28:00,12:33:00,12:40:00

Block: 26-----------------------
11:28:00,11:33:00,11:40:00
13:28:00,13:33:00,13:40:00
15:28:00,15:33:00,15:40:00
17:28:00,17:33:00,17:40:00

Block: 46-----------------------
07:28:00,07:33:00,07:40:00
09:28:00,09:33:00,09:40:00

Block: 56-----------------------
06:58:00,07:03:00,07:10:00
08:58:00,09:03:00,09:10:00
15:58:00,16:03:00,16:10:00
17:58:00,18:03:00,18:10:00

Block: 57-----------------------
07:58:00,08:03:00,08:10:00
16:58:00,17:03:00,17:10:00

Block: 66-----------------------
14:28:00,14:33:00,14:40:00
16:28:00,16:33:00,16:40:00
18:28:00,18:33:00,18:40:00
