frsttrpk_i,dubpark_i,dubmark_i,downint_a

Block: 33-----------------------
19:02:00,19:05:00,19:07:00,19:10:00
21:02:00,21:05:00,21:07:00,21:10:00

Block: 34-----------------------
20:02:00,20:05:00,20:07:00,20:10:00
22:02:00,22:05:00,22:07:00,22:10:00

Block: 103-----------------------
07:02:00,07:05:00,07:07:00,07:10:00
09:02:00,09:05:00,09:07:00,09:10:00
11:02:00,11:05:00,11:07:00,11:10:00
13:02:00,13:05:00,13:07:00,13:10:00

Block: 104-----------------------
08:02:00,08:05:00,08:07:00,08:10:00
10:02:00,10:05:00,10:07:00,10:10:00
12:02:00,12:05:00,12:07:00,12:10:00

Block: 133-----------------------
15:02:00,15:05:00,15:07:00,15:10:00
17:02:00,17:05:00,17:07:00,17:10:00
19:02:00,19:05:00,19:07:00,19:10:00

Block: 134-----------------------
14:02:00,14:05:00,14:07:00,14:10:00
16:02:00,16:05:00,16:07:00,16:10:00
18:02:00,18:05:00,18:07:00,18:10:00
