prsdodg_i,hyvee_i,crlnpdc_a,crlnpdc_i,dodgmark_i,downint_a

Block: 3-----------------------
06:22:00,06:26:00,06:27:00,06:30:00,06:36:00,06:40:00
08:22:00,08:26:00,08:27:00,08:30:00,08:36:00,08:40:00
10:22:00,10:26:00,10:27:00,10:30:00,10:36:00,10:40:00
12:22:00,12:26:00,12:27:00,12:30:00,12:36:00,12:40:00

Block: 4-----------------------
07:22:00,07:26:00,07:27:00,07:30:00,07:36:00,07:40:00
09:22:00,09:26:00,09:27:00,09:30:00,09:36:00,09:40:00
11:22:00,11:26:00,11:27:00,11:30:00,11:36:00,11:40:00
13:22:00,13:26:00,13:27:00,13:30:00,13:36:00,13:40:00

Block: 33-----------------------
14:22:00,14:26:00,14:27:00,14:30:00,14:36:00,14:40:00
16:22:00,16:26:00,16:27:00,16:30:00,16:36:00,16:40:00
18:22:00,18:26:00,18:27:00,18:30:00,18:36:00,18:40:00

Block: 34-----------------------
15:22:00,15:26:00,15:27:00,15:30:00,15:36:00,15:40:00
17:22:00,17:26:00,17:27:00,17:30:00,17:36:00,17:40:00

Block: 53-----------------------
06:52:00,06:56:00,06:57:00,07:00:00,07:06:00,07:10:00
08:52:00,08:56:00,08:57:00,09:00:00,09:06:00,09:10:00
16:52:00,16:56:00,16:57:00,17:00:00,17:06:00,17:10:00

Block: 54-----------------------
07:52:00,07:56:00,07:57:00,08:00:00,08:06:00,08:10:00
15:52:00,15:56:00,15:57:00,16:00:00,16:06:00,16:10:00
17:52:00,17:56:00,17:57:00,18:00:00,18:03:00,18:10:00
