prsdodg_i,hyvee_i,govkimb_i,dodgmark_i,downint_a

Block: 33-----------------------
20:25:00,20:29:00,20:33:00,20:36:00,20:40:00

Block: 34-----------------------
19:25:00,19:29:00,19:33:00,19:36:00,19:40:00
21:25:00,21:29:00,21:33:00,21:36:00,21:40:00

Block: 103-----------------------
06:25:00,06:29:00,06:33:00,06:36:00,06:40:00
08:25:00,08:29:00,08:33:00,08:36:00,08:40:00
10:25:00,10:29:00,10:33:00,10:36:00,10:40:00
12:25:00,12:29:00,12:33:00,12:36:00,12:40:00

Block: 104-----------------------
07:25:00,07:29:00,07:33:00,07:36:00,07:40:00
09:25:00,09:29:00,09:33:00,09:36:00,09:40:00
11:25:00,11:29:00,11:33:00,11:36:00,11:40:00
13:25:00,13:29:00,13:33:00,13:36:00,13:40:00

Block: 133-----------------------
14:25:00,14:29:00,14:33:00,14:36:00,14:40:00
16:25:00,16:29:00,16:33:00,16:36:00,16:40:00
18:25:00,18:29:00,18:33:00,18:36:00,18:40:00

Block: 134-----------------------
15:25:00,15:29:00,15:33:00,15:36:00,15:40:00
17:25:00,17:29:00,17:33:00,17:36:00,17:40:00
19:25:00,19:29:00,19:33:00,19:36:00,19:40:00
