grenbent_i,sunsmelr_i,melrgrnd_i,downinteb_a

Block: 5-----------------------
06:15:00,06:19:00,06:21:00,06:27:00
07:15:00,07:19:00,07:21:00,07:27:00
08:15:00,08:19:00,08:21:00,08:27:00
09:15:00,09:19:00,09:21:00,09:27:00
10:15:00,10:19:00,10:21:00,10:27:00
11:15:00,11:19:00,11:21:00,11:27:00
12:15:00,12:19:00,12:21:00,12:27:00
13:15:00,13:19:00,13:21:00,13:27:00

Block: 25-----------------------
11:45:00,11:49:00,11:51:00,11:57:00
12:45:00,12:49:00,12:51:00,12:57:00
13:45:00,13:49:00,13:51:00,13:57:00
14:45:00,14:49:00,14:51:00,14:57:00
15:45:00,15:49:00,15:51:00,15:57:00
16:45:00,16:49:00,16:51:00,16:57:00
17:45:00,17:49:00,17:51:00,17:57:00
18:45:00,18:49:00,18:51:00,18:57:00

Block: 45-----------------------
06:45:00,06:49:00,06:51:00,06:57:00
07:45:00,07:49:00,07:51:00,07:57:00
08:45:00,08:49:00,08:51:00,08:57:00
09:45:00,09:49:00,09:51:00,09:57:00
10:45:00,10:49:00,10:51:00,10:57:00

Block: 65-----------------------
14:15:00,14:19:00,14:21:00,14:27:00
15:15:00,15:19:00,15:21:00,15:27:00
16:15:00,16:19:00,16:21:00,16:27:00
17:15:00,17:19:00,17:21:00,17:27:00
18:15:00,18:19:00,18:21:00,18:27:00

Block: 205-----------------------
06:15:00,06:19:00,06:21:00,06:27:00
07:15:00,07:19:00,07:21:00,07:27:00
08:15:00,08:19:00,08:21:00,08:27:00
09:15:00,09:19:00,09:21:00,09:27:00
10:15:00,10:19:00,10:21:00,10:27:00
11:15:00,11:19:00,11:21:00,11:27:00
12:15:00,12:19:00,12:21:00,12:27:00
13:15:00,13:19:00,13:21:00,13:27:00

Block: 255-----------------------
06:45:00,06:49:00,06:51:00,06:57:00
07:45:00,07:49:00,07:51:00,07:57:00
08:45:00,08:49:00,08:51:00,08:57:00
15:45:00,15:49:00,15:51:00,15:57:00
16:45:00,16:49:00,16:51:00,16:57:00
17:45:00,17:49:00,17:51:00,17:57:00
18:45:00,18:49:00,18:51:00,18:57:00

Block: 265-----------------------
14:15:00,14:19:00,14:21:00,14:27:00
15:15:00,15:19:00,15:21:00,15:27:00
16:15:00,16:19:00,16:21:00,16:27:00
17:15:00,17:19:00,17:21:00,17:27:00
18:15:00,18:19:00,18:21:00,18:27:00
