oakwood_o,downint_o,hospeent_o,sunsmelr_o,sunsoak_o,oakwood_a

Block: 5-----------------------
06:14:00,07:00:00,07:05:00,07:08:00,07:09:00,07:11:00
07:14:00,08:00:00,08:05:00,08:08:00,08:09:00,08:11:00
08:14:00,09:00:00,09:05:00,09:08:00,09:09:00,09:11:00
09:14:00,10:00:00,10:05:00,10:08:00,10:09:00,10:11:00
10:14:00,11:00:00,11:05:00,11:08:00,11:09:00,11:11:00
11:14:00,12:00:00,12:05:00,12:08:00,12:09:00,12:11:00
12:14:00,13:00:00,13:05:00,13:08:00,13:09:00,13:11:00
13:14:00,--,--,--,--,--

Block: 25-----------------------
--,11:30:00,11:35:00,11:38:00,11:39:00,11:41:00
11:44:00,12:30:00,12:35:00,12:38:00,12:39:00,12:41:00
12:44:00,13:30:00,13:35:00,13:38:00,13:39:00,13:41:00
13:44:00,14:30:00,14:35:00,14:38:00,14:39:00,14:41:00
14:44:00,15:30:00,15:35:00,15:38:00,15:39:00,15:41:00
15:44:00,16:30:00,16:35:00,16:38:00,16:39:00,16:41:00
16:44:00,17:30:00,17:35:00,17:38:00,17:39:00,17:41:00
17:44:00,18:30:00,18:35:00,18:38:00,18:39:00,18:41:00
18:44:00,--,--,--,--,--

Block: 45-----------------------
--,06:30:00,06:35:00,06:38:00,06:39:00,06:41:00
06:44:00,07:30:00,07:35:00,07:38:00,07:39:00,07:41:00
07:44:00,08:30:00,08:35:00,08:38:00,08:39:00,08:41:00
08:44:00,09:30:00,09:35:00,09:38:00,09:39:00,09:41:00
09:44:00,10:30:00,10:35:00,10:38:00,10:39:00,10:41:00
10:44:00,--,--,--,--,--

Block: 65-----------------------
--,14:00:00,14:05:00,14:08:00,14:09:00,14:11:00
14:14:00,15:00:00,15:05:00,15:08:00,15:09:00,15:11:00
15:14:00,16:00:00,16:05:00,16:08:00,16:09:00,16:11:00
16:14:00,17:00:00,17:05:00,17:08:00,17:09:00,17:11:00
17:14:00,18:00:00,18:05:00,18:08:00,18:09:00,18:11:00
18:14:00,--,--,--,--,--

Block: 205-----------------------
06:14:00,07:00:00,07:05:00,07:08:00,07:09:00,07:11:00
07:14:00,08:00:00,08:05:00,08:08:00,08:09:00,08:11:00
08:14:00,09:00:00,09:05:00,09:08:00,09:09:00,09:11:00
09:14:00,10:00:00,10:05:00,10:08:00,10:09:00,10:11:00
10:14:00,11:00:00,11:05:00,11:08:00,11:09:00,11:11:00
11:14:00,12:00:00,12:05:00,12:08:00,12:09:00,12:11:00
12:14:00,13:00:00,13:05:00,13:08:00,13:09:00,13:11:00
13:14:00,--,--,--,--,--

Block: 255-----------------------
--,06:30:00,06:35:00,06:38:00,06:39:00,06:41:00
06:44:00,07:30:00,07:35:00,07:38:00,07:39:00,07:41:00
07:44:00,08:30:00,08:35:00,08:38:00,08:39:00,08:41:00
08:44:00,15:30:00,15:35:00,15:38:00,15:39:00,15:41:00
15:44:00,16:30:00,16:35:00,16:38:00,16:39:00,16:41:00
16:44:00,17:30:00,17:35:00,17:38:00,17:39:00,17:41:00
17:44:00,18:30:00,18:35:00,18:38:00,18:39:00,18:41:00
18:44:00,--,--,--,--,--

Block: 265-----------------------
--,14:00:00,14:05:00,14:08:00,14:09:00,14:11:00
14:14:00,15:00:00,15:05:00,15:08:00,15:09:00,15:11:00
15:14:00,16:00:00,16:05:00,16:08:00,16:09:00,16:11:00
16:14:00,17:00:00,17:05:00,17:08:00,17:09:00,17:11:00
17:14:00,18:00:00,18:05:00,18:08:00,18:09:00,18:11:00
18:14:00,--,--,--,--,--
