wstplaz1_i,hwy1slag_i,rivrbent_i,downinteb_a

Block: 75-----------------------
19:17:00,19:21:00,19:23:00,19:27:00
20:17:00,20:21:00,20:23:00,20:27:00
21:17:00,21:21:00,21:23:00,21:27:00
22:17:00,22:21:00,22:23:00,22:27:00

Block: 105-----------------------
06:17:00,06:21:00,06:23:00,06:27:00
07:17:00,07:21:00,07:23:00,07:27:00
08:17:00,08:21:00,08:23:00,08:27:00
09:17:00,09:21:00,09:23:00,09:27:00
10:17:00,10:21:00,10:23:00,10:27:00
11:17:00,11:21:00,11:23:00,11:27:00
12:17:00,12:21:00,12:23:00,12:27:00
13:17:00,13:21:00,13:23:00,13:27:00

Block: 165-----------------------
14:17:00,14:21:00,14:23:00,14:27:00
15:17:00,15:21:00,15:23:00,15:27:00
16:17:00,16:21:00,16:23:00,16:27:00
17:17:00,17:21:00,17:23:00,17:27:00
18:17:00,18:21:00,18:23:00,18:27:00
19:17:00,19:21:00,19:23:00,19:27:00
