mtvrroch_d,roch7th_i,markdodg_i,downint_a

Block: 6-----------------------
07:03:00,07:06:00,07:08:00,07:12:00
09:03:00,09:06:00,09:08:00,09:12:00
11:03:00,11:06:00,11:08:00,11:12:00
13:03:00,13:06:00,13:08:00,13:12:00

Block: 26-----------------------
12:03:00,12:06:00,12:08:00,12:12:00
14:03:00,14:06:00,14:08:00,14:12:00
16:03:00,16:06:00,16:08:00,16:12:00
18:03:00,18:06:00,18:08:00,18:12:00

Block: 46-----------------------
08:03:00,08:06:00,08:08:00,08:12:00
10:03:00,10:06:00,10:08:00,10:12:00

Block: 56-----------------------
07:33:00,07:36:00,07:38:00,07:42:00
16:33:00,16:36:00,16:38:00,16:42:00
18:33:00,18:36:00,18:38:00,18:42:00

Block: 57-----------------------
06:33:00,06:36:00,06:38:00,06:42:00
08:33:00,08:36:00,08:38:00,08:42:00
15:33:00,15:36:00,15:38:00,15:42:00
17:33:00,17:36:00,17:38:00,17:42:00

Block: 66-----------------------
15:03:00,15:06:00,15:08:00,15:12:00
17:03:00,17:06:00,17:08:00,17:12:00
