downinteb_o,jeffgov_o,roch7th_o,amhrlwbr_o,mtvrroch_a

Block: 6-----------------------
06:45:00,06:50:00,06:52:00,06:56:00,07:02:00
08:45:00,08:50:00,08:52:00,08:56:00,09:02:00
10:45:00,10:50:00,10:52:00,10:56:00,11:02:00
12:45:00,12:50:00,12:52:00,12:56:00,13:02:00

Block: 26-----------------------
11:45:00,11:50:00,11:52:00,11:56:00,12:02:00
13:45:00,13:50:00,13:52:00,13:56:00,14:02:00
15:45:00,15:50:00,15:52:00,15:56:00,16:02:00
17:45:00,17:50:00,17:52:00,17:56:00,18:02:00

Block: 46-----------------------
07:45:00,07:50:00,07:52:00,07:56:00,08:02:00
09:45:00,09:50:00,09:52:00,09:56:00,10:02:00

Block: 56-----------------------
07:15:00,07:20:00,07:22:00,07:26:00,07:32:00
16:15:00,16:20:00,16:22:00,16:26:00,16:32:00
18:15:00,18:20:00,18:22:00,18:26:00,18:32:00

Block: 57-----------------------
--,--,--,06:26:00,06:32:00
08:15:00,08:20:00,08:22:00,08:26:00,08:32:00
15:15:00,15:20:00,15:22:00,15:26:00,15:32:00
17:15:00,17:20:00,17:22:00,17:26:00,17:32:00

Block: 66-----------------------
14:45:00,14:50:00,14:52:00,14:56:00,15:02:00
16:45:00,16:50:00,16:52:00,16:56:00,17:02:00
