downinte_d,jeffvanb_l,johnbloo_l,gilbchur_l,dubumark_l,imu_l,downinte_a

Block: 13-----------------------
07:45:00,07:47:00,07:49:00,07:50:00,07:52:00,07:54:00,07:55:00
08:45:00,08:47:00,08:49:00,08:50:00,08:52:00,08:54:00,08:55:00
09:45:00,09:47:00,09:49:00,09:50:00,09:52:00,09:54:00,09:55:00
10:45:00,10:47:00,10:49:00,10:50:00,10:52:00,10:54:00,10:55:00
11:45:00,11:47:00,11:49:00,11:50:00,11:52:00,11:54:00,11:55:00
12:45:00,12:47:00,12:49:00,12:50:00,12:52:00,12:54:00,12:55:00
13:45:00,13:47:00,13:49:00,13:50:00,13:52:00,13:54:00,13:55:00
14:45:00,14:47:00,14:49:00,14:50:00,14:52:00,14:54:00,14:55:00

Block: 613-----------------------
15:45:00,15:47:00,15:49:00,15:50:00,15:52:00,15:54:00,15:55:00
16:45:00,16:47:00,16:49:00,16:50:00,16:52:00,16:54:00,16:55:00
17:45:00,17:47:00,17:49:00,17:50:00,17:52:00,17:54:00,17:55:00
