downinte_d,washdodg_l,dodgburl_l,dodgbowe_l,bowegilb_l,courdubu_l,uilind_l,downinteb_a,downintec_a

Block: 13-----------------------
07:30:00,07:32:00,07:34:00,07:36:00,07:38:00,07:40:00,07:42:00,--,07:43:00
08:00:00,08:02:00,08:04:00,08:06:00,08:08:00,08:10:00,08:12:00,08:13:00,--
08:15:00,08:17:00,08:19:00,08:21:00,08:23:00,08:25:00,08:27:00,08:28:00,--
08:30:00,08:32:00,08:34:00,08:36:00,08:38:00,08:40:00,08:42:00,--,08:43:00
09:00:00,09:02:00,09:04:00,09:06:00,09:08:00,09:10:00,09:12:00,09:13:00,--
09:15:00,09:17:00,09:19:00,09:21:00,09:23:00,09:25:00,09:27:00,09:28:00,--
09:30:00,09:32:00,09:34:00,09:36:00,09:38:00,09:40:00,09:42:00,--,09:43:00
10:00:00,10:02:00,10:04:00,10:06:00,10:08:00,10:10:00,10:12:00,10:13:00,--
10:15:00,10:17:00,10:19:00,10:21:00,10:23:00,10:25:00,10:27:00,10:28:00,--
10:30:00,10:32:00,10:34:00,10:36:00,10:38:00,10:40:00,10:42:00,--,10:43:00
11:00:00,11:02:00,11:04:00,11:06:00,11:08:00,11:10:00,11:12:00,11:13:00,--
11:15:00,11:17:00,11:19:00,11:21:00,11:23:00,11:25:00,11:27:00,11:28:00,--
11:30:00,11:32:00,11:34:00,11:36:00,11:38:00,11:40:00,11:42:00,--,11:43:00
12:00:00,12:02:00,12:04:00,12:06:00,12:08:00,12:10:00,12:12:00,12:13:00,--
12:15:00,12:17:00,12:19:00,12:21:00,12:23:00,12:25:00,12:27:00,12:28:00,--
12:30:00,12:32:00,12:34:00,12:36:00,12:38:00,12:40:00,12:42:00,--,12:43:00
13:00:00,13:02:00,13:04:00,13:06:00,13:08:00,13:10:00,13:12:00,13:13:00,--
13:15:00,13:17:00,13:19:00,13:21:00,13:23:00,13:25:00,13:27:00,13:28:00,--
13:30:00,13:32:00,13:34:00,13:36:00,13:38:00,13:40:00,13:42:00,--,13:43:00
14:00:00,14:02:00,14:04:00,14:06:00,14:08:00,14:10:00,14:12:00,14:13:00,--
14:15:00,14:17:00,14:19:00,14:21:00,14:23:00,14:25:00,14:27:00,14:28:00,--
14:30:00,14:32:00,14:34:00,14:36:00,14:38:00,14:40:00,14:42:00,--,14:43:00

Block: 613-----------------------
15:00:00,15:02:00,15:04:00,15:06:00,15:08:00,15:10:00,15:12:00,15:13:00,--
15:15:00,15:17:00,15:19:00,15:21:00,15:23:00,15:25:00,15:27:00,15:28:00,--
15:30:00,15:32:00,15:34:00,15:36:00,15:38:00,15:40:00,15:42:00,--,15:43:00
16:00:00,16:02:00,16:04:00,16:06:00,16:08:00,16:10:00,16:12:00,16:13:00,--
16:15:00,16:17:00,16:19:00,16:21:00,16:23:00,16:25:00,16:27:00,16:28:00,--
16:30:00,16:32:00,16:34:00,16:36:00,16:38:00,16:40:00,16:42:00,--,16:43:00
17:00:00,17:02:00,17:04:00,17:06:00,17:08:00,17:10:00,17:12:00,17:13:00,--
17:15:00,17:17:00,17:19:00,17:21:00,17:23:00,17:25:00,17:27:00,17:28:00,--
17:30:00,17:32:00,17:34:00,17:36:00,17:38:00,17:40:00,17:42:00,--,17:43:00
18:00:00,18:02:00,18:04:00,18:06:00,18:08:00,18:10:00,18:12:00,18:13:00,--
18:15:00,18:17:00,18:19:00,18:21:00,18:23:00,18:25:00,18:27:00,18:28:00,--
