downinte_d,newtramp_o,melrsuns_o,phearidg_o

Block: 1-----------------------
06:30:00,06:35:00,06:40:00,06:49:00
08:30:00,08:35:00,08:40:00,08:49:00
10:30:00,10:35:00,10:40:00,10:49:00
12:30:00,12:35:00,12:40:00,12:49:00

Block: 2-----------------------
07:30:00,07:35:00,07:40:00,07:49:00
09:30:00,09:35:00,09:40:00,09:49:00
11:30:00,11:35:00,11:40:00,11:49:00
13:30:00,13:35:00,13:40:00,13:49:00

Block: 32-----------------------
15:30:00,15:35:00,15:40:00,15:49:00
17:30:00,17:35:00,17:40:00,17:49:00

Block: 51-----------------------
07:00:00,07:05:00,07:10:00,07:19:00
15:00:00,15:05:00,15:10:00,15:19:00
17:00:00,17:05:00,17:10:00,17:19:00

Block: 52-----------------------
--,--,--,06:19:00
08:00:00,08:05:00,08:10:00,08:19:00
16:00:00,16:05:00,16:10:00,16:19:00
18:00:00,18:05:00,18:10:00,18:19:00

Block: 61-----------------------
14:30:00,14:35:00,14:40:00,14:49:00
16:30:00,16:35:00,16:40:00,16:49:00
