comcent_cc,oldcap_cc,machall_cc,hanchwes_cc,vahosp_cc,camoff_cc,slathall_cc

Block: 121-----------------------
06:02:00,--,06:06:00,06:12:00,06:18:00,06:25:00,06:29:00
06:32:00,--,06:36:00,06:42:00,06:48:00,06:55:00,06:59:00
07:02:00,--,07:06:00,07:12:00,07:18:00,07:25:00,07:29:00
07:32:00,--,07:36:00,07:42:00,07:48:00,07:55:00,07:59:00
08:02:00,--,08:06:00,08:12:00,08:18:00,08:25:00,08:29:00
08:32:00,--,08:36:00,08:42:00,08:48:00,08:55:00,08:59:00
09:02:00,--,09:06:00,09:12:00,09:18:00,09:25:00,09:29:00
09:32:00,--,09:36:00,09:42:00,09:48:00,09:55:00,09:59:00
10:02:00,--,10:06:00,10:12:00,10:18:00,10:25:00,10:29:00
10:32:00,--,10:36:00,10:42:00,10:48:00,10:55:00,10:59:00
11:02:00,--,11:06:00,11:12:00,11:18:00,11:25:00,11:29:00
11:32:00,--,11:36:00,11:42:00,11:48:00,11:55:00,11:59:00
12:02:00,--,12:06:00,12:12:00,12:18:00,12:25:00,12:29:00
12:32:00,--,12:36:00,12:42:00,12:48:00,12:55:00,12:59:00
13:02:00,--,13:06:00,13:12:00,13:18:00,13:25:00,13:29:00
13:32:00,--,13:36:00,13:42:00,13:48:00,13:55:00,13:59:00
14:02:00,--,14:06:00,14:12:00,14:18:00,14:25:00,14:29:00
14:32:00,--,14:36:00,14:42:00,14:48:00,14:55:00,14:59:00
15:02:00,--,15:06:00,15:12:00,15:18:00,15:25:00,15:29:00
15:32:00,--,15:36:00,15:42:00,15:48:00,15:55:00,15:59:00
16:02:00,--,16:06:00,16:12:00,16:18:00,16:25:00,16:29:00
16:32:00,--,16:36:00,16:42:00,16:48:00,16:55:00,16:59:00
17:02:00,--,17:06:00,17:12:00,17:18:00,17:25:00,17:29:00
17:32:00,--,17:36:00,17:42:00,17:48:00,17:55:00,17:59:00
18:02:00,--,18:06:00,18:12:00,18:18:00,18:25:00,18:29:00
18:32:00,--,18:36:00,18:42:00,18:48:00,18:55:00,18:59:00
19:02:00,--,19:06:00,19:12:00,19:18:00,19:25:00,19:29:00
19:32:00,--,19:36:00,19:42:00,19:48:00,19:55:00,19:59:00
20:02:00,--,20:06:00,20:12:00,20:18:00,20:25:00,20:29:00
20:32:00,--,20:36:00,20:42:00,20:48:00,20:55:00,20:59:00
21:02:00,--,21:06:00,21:12:00,21:18:00,21:25:00,21:29:00
21:32:00,--,21:36:00,21:42:00,21:48:00,21:55:00,21:59:00
22:02:00,--,22:06:00,22:12:00,22:18:00,22:25:00,22:29:00
22:32:00,--,22:36:00,22:42:00,22:48:00,22:55:00,22:59:00
23:02:00,--,23:06:00,23:12:00,23:18:00,23:25:00,23:29:00
23:32:00,--,23:36:00,23:42:00,23:48:00,23:55:00,23:59:00
00:02:00,--,00:06:00,00:12:00,00:18:00,00:25:00,00:29:00
00:32:00,--,00:36:00,00:42:00,--,--,--

Block: 122-----------------------
06:17:00,--,06:21:00,06:27:00,06:33:00,06:40:00,06:44:00
06:47:00,--,06:51:00,06:57:00,07:03:00,07:10:00,07:14:00
07:17:00,--,07:21:00,07:27:00,07:33:00,07:40:00,07:44:00
07:47:00,--,07:51:00,07:57:00,08:03:00,08:15:00,08:19:00
08:22:00,--,08:26:00,08:32:00,08:38:00,08:45:00,08:49:00
08:52:00,--,08:56:00,09:02:00,09:08:00,09:15:00,09:19:00
09:22:00,--,09:26:00,09:32:00,09:38:00,09:45:00,09:49:00
09:52:00,--,09:56:00,10:02:00,10:08:00,10:15:00,10:19:00
10:22:00,--,10:26:00,10:32:00,10:38:00,10:45:00,10:49:00
10:52:00,--,10:56:00,11:02:00,11:08:00,11:15:00,11:19:00
11:22:00,--,11:26:00,11:32:00,11:38:00,11:45:00,11:49:00
11:52:00,--,11:56:00,12:02:00,12:08:00,12:15:00,12:19:00
12:22:00,--,12:26:00,12:32:00,12:38:00,12:45:00,12:49:00
12:52:00,--,12:56:00,13:02:00,13:08:00,13:15:00,13:19:00
13:22:00,--,13:26:00,13:32:00,13:38:00,13:45:00,13:49:00
13:52:00,--,13:56:00,14:02:00,14:08:00,14:15:00,14:19:00
14:22:00,--,14:26:00,14:32:00,14:38:00,14:45:00,14:49:00
14:52:00,--,14:56:00,15:02:00,15:08:00,15:15:00,15:19:00
15:22:00,--,15:26:00,15:32:00,15:38:00,15:45:00,15:49:00
15:52:00,--,15:56:00,16:02:00,16:08:00,16:15:00,16:19:00
16:22:00,--,16:26:00,16:32:00,16:38:00,16:45:00,16:49:00
16:52:00,--,16:56:00,17:02:00,17:08:00,17:15:00,17:19:00
17:22:00,--,17:26:00,17:32:00,17:38:00,--,--

Block: 123-----------------------
--,--,--,--,--,08:05:00,08:09:00
08:12:00,--,08:16:00,08:22:00,08:28:00,08:35:00,08:39:00
