rienhall_h,shosp_h,hawkct2_h,schfhall_h

Block: 151-----------------------
06:18:00,06:21:00,06:30:00,07:11:00
07:18:00,07:21:00,07:30:00,08:11:00
08:18:00,08:21:00,08:30:00,09:11:00
09:18:00,09:21:00,09:30:00,10:11:00
10:18:00,10:21:00,10:30:00,11:11:00
11:18:00,11:21:00,11:30:00,12:11:00
12:18:00,12:21:00,12:30:00,13:11:00
13:18:00,13:21:00,13:30:00,14:11:00
14:18:00,14:21:00,14:30:00,15:11:00
15:18:00,15:21:00,15:30:00,16:11:00
16:18:00,16:21:00,16:30:00,17:11:00
17:18:00,17:21:00,17:30:00,18:11:00
18:18:00,18:21:00,18:30:00,19:11:00
19:18:00,19:21:00,19:30:00,20:11:00
20:18:00,20:21:00,20:30:00,21:11:00
21:18:00,21:21:00,21:30:00,22:11:00
22:18:00,22:21:00,22:30:00,23:11:00
23:18:00,23:21:00,23:30:00,00:11:00
00:18:00,00:21:00,00:30:00,--

Block: 152-----------------------
06:48:00,06:51:00,07:00:00,07:41:00
07:48:00,07:51:00,08:00:00,08:41:00
08:48:00,08:51:00,09:00:00,09:41:00
09:48:00,09:51:00,10:00:00,10:41:00
10:48:00,10:51:00,11:00:00,11:41:00
11:48:00,11:51:00,12:00:00,12:41:00
12:48:00,12:51:00,13:00:00,13:41:00
13:48:00,13:51:00,14:00:00,14:41:00
14:48:00,14:51:00,15:00:00,15:41:00
15:48:00,15:51:00,16:00:00,16:41:00
16:48:00,16:51:00,17:00:00,17:41:00
17:48:00,17:51:00,18:00:00,18:41:00
18:48:00,18:51:00,19:00:00,19:41:00
19:48:00,19:51:00,20:00:00,20:41:00
20:48:00,20:51:00,21:00:00,--

Block: 153-----------------------
--,--,11:30:00,12:11:00
12:18:00,12:21:00,12:30:00,13:11:00
13:18:00,13:21:00,13:30:00,14:11:00
14:18:00,14:21:00,14:30:00,15:11:00
15:18:00,15:21:00,15:30:00,16:11:00
16:18:00,16:21:00,16:30:00,17:11:00
17:18:00,17:21:00,17:30:00,18:11:00
18:18:00,18:21:00,18:30:00,19:11:00
19:18:00,19:21:00,19:30:00,20:11:00
20:18:00,20:21:00,20:30:00,21:11:00
21:18:00,21:21:00,21:30:00,22:11:00
22:18:00,22:21:00,22:30:00,23:11:00
23:18:00,23:21:00,23:30:00,00:11:00
00:18:00,00:21:00,00:30:00,--

Block: 251-----------------------
06:18:00,06:21:00,06:30:00,07:11:00
07:18:00,07:21:00,07:30:00,08:11:00
08:18:00,08:21:00,08:30:00,09:11:00
09:18:00,09:21:00,09:30:00,10:11:00
10:18:00,10:21:00,10:30:00,11:11:00
11:18:00,11:21:00,11:30:00,12:11:00
12:18:00,12:21:00,12:30:00,13:11:00
13:18:00,13:21:00,13:30:00,14:11:00
14:18:00,14:21:00,14:30:00,15:11:00
15:18:00,15:21:00,15:30:00,16:11:00
16:18:00,16:21:00,16:30:00,17:11:00
17:18:00,17:21:00,17:30:00,18:11:00
18:18:00,18:21:00,18:30:00,19:11:00
19:18:00,19:21:00,19:30:00,20:11:00
20:18:00,20:21:00,20:30:00,21:11:00
21:18:00,21:21:00,21:30:00,22:11:00
22:18:00,22:21:00,22:30:00,23:11:00
23:18:00,23:21:00,23:30:00,00:11:00
00:18:00,00:21:00,00:30:00,--

Block: 252-----------------------
06:48:00,06:51:00,07:00:00,07:41:00
07:48:00,07:51:00,08:00:00,08:41:00
08:48:00,08:51:00,09:00:00,09:41:00
09:48:00,09:51:00,10:00:00,10:41:00
10:48:00,10:51:00,11:00:00,11:41:00
11:48:00,11:51:00,12:00:00,12:41:00
12:48:00,12:51:00,13:00:00,13:41:00
13:48:00,13:51:00,14:00:00,14:41:00
14:48:00,14:51:00,15:00:00,15:41:00
15:48:00,15:51:00,16:00:00,16:41:00
16:48:00,16:51:00,17:00:00,17:41:00
17:48:00,17:51:00,18:00:00,18:41:00
18:48:00,18:51:00,19:00:00,19:41:00
19:48:00,19:51:00,20:00:00,20:41:00
20:48:00,20:51:00,21:00:00,--

Block: 253-----------------------
--,--,11:30:00,12:11:00
12:16:00,12:21:00,12:30:00,13:11:00
13:16:00,13:21:00,13:30:00,14:11:00
14:16:00,14:21:00,14:30:00,15:11:00
15:16:00,15:21:00,15:30:00,16:11:00
16:16:00,16:21:00,16:30:00,17:11:00
17:16:00,17:21:00,17:30:00,18:11:00
18:16:00,18:21:00,18:30:00,--
