shosp_h,hawklot1_a

Block: 364-----------------------
05:15:00,--
05:30:00,--
05:45:00,--
06:00:00,--
06:20:00,--
06:40:00,--
07:00:00,--
07:20:00,--
07:40:00,--
08:00:00,--
08:20:00,--

Block: 365-----------------------
06:30:00,--
06:50:00,--
07:10:00,--
07:30:00,--
07:50:00,--
08:10:00,--
08:30:00,--
08:55:00,--
09:20:00,--

Block: 366-----------------------
16:03:00,--
16:23:00,--
16:43:00,--
17:03:00,17:13:00

Block: 367-----------------------
16:33:00,--
16:53:00,--
17:13:00,--
17:33:00,--
17:55:00,--
18:15:00,--
18:35:00,18:43:00
