hanchest_v,hanchprk_v,levtcent_v,hanchwes_v,vahosp_v,valoop_a

Block: 171-----------------------
--,--,07:03:00,07:05:00,07:11:00,--
--,--,07:18:00,07:20:00,07:26:00,--
--,--,07:33:00,07:35:00,07:41:00,--
--,--,07:48:00,07:50:00,07:56:00,--

Block: 172-----------------------
--,--,08:03:00,08:05:00,08:11:00,--
--,--,08:18:00,08:20:00,08:26:00,08:27:00

Block: 271-----------------------
--,--,07:03:00,07:05:00,07:11:00,--
--,--,07:18:00,07:20:00,07:26:00,--
--,--,07:33:00,07:35:00,07:41:00,--
--,--,07:48:00,07:50:00,07:56:00,--
--,--,08:03:00,08:05:00,08:11:00,--
--,--,08:18:00,08:20:00,08:26:00,08:27:00

Block: 272-----------------------
17:01:00,17:02:00,--,--,17:08:00,--
17:16:00,--,--,--,--,--
