shosp_fa,arnaw_pm

Block: 172-----------------------
06:40:00,--
06:55:00,--
07:10:00,--
07:25:00,--
07:40:00,--

Block: 273-----------------------
06:40:00,--
06:55:00,--
07:10:00,--
07:25:00,--
07:40:00,--

Block: 371-----------------------
04:35:00,--
04:45:00,--
04:55:00,--
05:05:00,--
05:15:00,--
05:25:00,--
05:35:00,--
05:45:00,--
05:55:00,--
06:05:00,--
06:15:00,--
06:25:00,--
06:35:00,--
06:50:00,--
07:05:00,--
07:20:00,--
07:35:00,--
07:50:00,--

Block: 372-----------------------
15:15:00,15:18:00
15:30:00,15:33:00
15:45:00,15:48:00
16:00:00,16:03:00
16:15:00,16:18:00
16:30:00,16:33:00
16:45:00,16:48:00
17:00:00,17:03:00
17:15:00,17:18:00
17:30:00,17:33:00
17:41:00,17:43:00
17:51:00,17:53:00

Block: 373-----------------------
06:45:00,--
07:00:00,--
07:15:00,--
07:30:00,--
07:45:00,--
08:00:00,--
08:20:00,--
08:35:00,--
08:50:00,--
09:05:00,--
09:20:00,--
09:35:00,--
09:50:00,--
10:05:00,--
10:20:00,--
10:35:00,--
10:50:00,--
11:05:00,--
11:20:00,--
11:35:00,--
11:50:00,--
12:05:00,12:10:00
12:20:00,12:25:00
12:35:00,12:40:00
12:50:00,12:55:00
13:05:00,13:10:00
13:20:00,13:25:00
13:35:00,13:40:00
13:50:00,13:55:00
14:05:00,14:10:00
14:20:00,14:25:00
14:35:00,14:40:00
14:50:00,14:55:00
15:05:00,15:10:00
15:20:00,15:23:00
15:35:00,15:38:00
15:50:00,15:53:00
16:05:00,16:08:00
16:20:00,16:23:00
16:35:00,16:38:00
16:50:00,16:53:00
17:05:00,17:08:00
17:20:00,17:23:00
17:35:00,17:38:00
17:46:00,17:48:00
17:56:00,17:58:00
18:06:00,18:08:00
18:16:00,18:18:00
18:26:00,18:28:00
18:36:00,18:38:00

Block: 374-----------------------
16:55:00,16:58:00
17:10:00,17:13:00
17:25:00,17:28:00
