rienhall_e,slathall_e,machall_e

Block: 141-----------------------
08:18:00,08:19:00,08:24:00
08:48:00,08:49:00,08:54:00
09:18:00,09:19:00,09:24:00
09:48:00,09:49:00,09:54:00
10:18:00,10:19:00,10:24:00
10:48:00,10:49:00,10:54:00
11:18:00,11:19:00,11:24:00
11:48:00,11:49:00,11:54:00
12:18:00,12:19:00,12:24:00
12:48:00,12:49:00,12:54:00
13:18:00,13:19:00,13:24:00
13:48:00,13:49:00,13:54:00
14:18:00,14:19:00,14:24:00
14:48:00,14:49:00,14:54:00
15:18:00,15:19:00,15:24:00
15:48:00,15:49:00,15:54:00
16:18:00,16:19:00,16:24:00
16:48:00,--,--

Block: 142-----------------------
08:31:00,08:32:00,08:38:00
09:02:00,09:05:00,09:10:00
09:31:00,09:32:00,09:38:00
10:02:00,10:05:00,10:10:00
10:31:00,10:32:00,10:38:00
11:02:00,11:05:00,11:10:00
11:31:00,11:32:00,11:38:00
12:02:00,12:05:00,12:10:00
12:31:00,12:32:00,12:38:00
13:02:00,13:05:00,13:10:00
13:31:00,13:32:00,13:38:00
14:02:00,14:05:00,14:10:00
14:31:00,14:32:00,14:38:00
15:02:00,15:05:00,15:10:00
15:31:00,15:32:00,15:38:00
16:02:00,16:05:00,16:10:00
16:31:00,16:32:00,16:38:00
17:02:00,17:05:00,17:10:00
17:31:00,17:32:00,17:38:00
18:02:00,18:05:00,18:10:00
18:31:00,18:32:00,18:38:00
19:02:00,19:05:00,19:10:00
19:31:00,--,--

Block: 241-----------------------
06:58:00,06:59:00,07:04:00
07:28:00,07:29:00,07:34:00
07:58:00,07:59:00,08:04:00
08:28:00,08:29:00,08:34:00
08:58:00,08:59:00,09:04:00
09:28:00,09:29:00,09:34:00
09:58:00,--,--

Block: 296-----------------------
06:18:00,06:19:00,06:24:00
06:48:00,06:49:00,06:54:00
07:18:00,07:19:00,07:24:00
07:48:00,07:49:00,07:54:00
08:18:00,08:19:00,08:24:00
08:48:00,08:49:00,08:54:00
09:18:00,09:19:00,09:24:00
09:48:00,09:49:00,09:54:00
10:18:00,10:19:00,10:24:00
10:48:00,10:49:00,10:54:00
11:18:00,11:19:00,11:24:00
11:48:00,11:49:00,11:54:00
12:18:00,12:19:00,12:24:00
12:48:00,12:49:00,12:54:00
13:18:00,13:19:00,13:24:00
13:48:00,13:49:00,13:54:00
14:18:00,14:19:00,14:24:00
14:48:00,14:49:00,14:54:00
15:18:00,15:19:00,15:24:00
15:48:00,15:49:00,15:54:00
16:18:00,16:19:00,16:24:00
16:48:00,16:49:00,16:54:00
17:18:00,17:19:00,17:24:00
17:48:00,17:49:00,17:54:00
18:18:00,18:19:00,18:24:00
18:48:00,18:49:00,18:54:00
19:18:00,19:19:00,19:24:00
19:48:00,19:49:00,19:54:00
20:18:00,20:19:00,20:24:00
20:48:00,20:49:00,20:54:00
21:18:00,21:19:00,21:24:00
21:48:00,21:49:00,21:54:00
22:18:00,22:19:00,22:24:00
22:48:00,22:49:00,22:54:00
23:18:00,23:19:00,23:24:00
23:48:00,23:49:00,23:54:00
00:18:00,00:19:00,00:24:00
00:48:00,00:49:00,00:54:00
01:18:00,--,--

Block: 297-----------------------
--,--,06:10:00
06:31:00,06:32:00,06:38:00
07:02:00,07:05:00,07:10:00
07:31:00,07:32:00,07:38:00
08:02:00,08:05:00,08:10:00
08:31:00,08:32:00,08:38:00
09:02:00,09:05:00,09:10:00
09:31:00,09:32:00,09:38:00
10:02:00,10:05:00,10:10:00
10:31:00,10:32:00,10:38:00
11:02:00,11:05:00,11:10:00
11:31:00,11:32:00,11:38:00
12:02:00,12:05:00,12:10:00
12:31:00,12:32:00,12:38:00
13:02:00,13:05:00,13:10:00
13:31:00,13:32:00,13:38:00
14:02:00,14:05:00,14:10:00
14:31:00,14:32:00,14:38:00
15:02:00,15:05:00,15:10:00
15:31:00,15:32:00,15:38:00
16:02:00,16:05:00,16:10:00
16:31:00,16:32:00,16:38:00
17:02:00,17:05:00,17:10:00
17:31:00,17:32:00,17:38:00
18:02:00,18:05:00,18:10:00
18:31:00,18:32:00,18:38:00
19:02:00,19:05:00,19:10:00
19:31:00,19:32:00,19:38:00
20:02:00,20:05:00,20:10:00
20:31:00,20:32:00,20:38:00
21:02:00,21:05:00,21:10:00
21:31:00,21:32:00,21:38:00
22:02:00,22:05:00,22:10:00
22:31:00,22:32:00,22:38:00
23:02:00,23:05:00,23:10:00
23:31:00,23:32:00,23:38:00
00:02:00,00:05:00,00:10:00
00:31:00,00:32:00,00:38:00
01:02:00,01:05:00,01:10:00
