mayhall_w,schfhall_w

Block: 141-----------------------
08:05:00,08:13:00
08:35:00,08:43:00
09:05:00,09:13:00
09:35:00,09:43:00
10:05:00,10:13:00
10:35:00,10:43:00
11:05:00,11:13:00
11:35:00,11:43:00
12:05:00,12:13:00
12:35:00,12:43:00
13:05:00,13:13:00
13:35:00,13:43:00
14:05:00,14:13:00
14:35:00,14:43:00
15:05:00,15:13:00
15:35:00,15:43:00
16:05:00,16:13:00
16:35:00,16:43:00

Block: 142-----------------------
08:17:00,08:27:00
08:50:00,08:58:00
09:17:00,09:27:00
09:50:00,09:58:00
10:17:00,10:27:00
10:50:00,10:58:00
11:17:00,11:27:00
11:50:00,11:58:00
12:17:00,12:27:00
12:50:00,12:58:00
13:17:00,13:27:00
13:50:00,13:58:00
14:17:00,14:27:00
14:50:00,14:58:00
15:17:00,15:27:00
15:50:00,15:58:00
16:17:00,16:27:00
16:50:00,16:58:00
17:17:00,17:27:00
17:50:00,17:58:00
18:17:00,18:27:00
18:50:00,18:58:00
19:17:00,19:27:00

Block: 241-----------------------
06:47:00,06:55:00
07:17:00,07:25:00
07:47:00,07:55:00
08:17:00,08:25:00
08:47:00,08:55:00
09:17:00,09:25:00
09:47:00,09:55:00

Block: 296-----------------------
06:05:00,06:13:00
06:35:00,06:43:00
07:05:00,07:13:00
07:35:00,07:43:00
08:05:00,08:13:00
08:35:00,08:43:00
09:05:00,09:13:00
09:35:00,09:43:00
10:05:00,10:13:00
10:35:00,10:43:00
11:05:00,11:13:00
11:35:00,11:43:00
12:05:00,12:13:00
12:35:00,12:43:00
13:05:00,13:13:00
13:35:00,13:43:00
14:05:00,14:13:00
14:35:00,14:43:00
15:05:00,15:13:00
15:35:00,15:43:00
16:05:00,16:13:00
16:35:00,16:43:00
17:05:00,17:13:00
17:35:00,17:43:00
18:05:00,18:13:00
18:35:00,18:43:00
19:05:00,19:13:00
19:35:00,19:43:00
20:05:00,20:13:00
20:35:00,20:43:00
21:05:00,21:13:00
21:35:00,21:43:00
22:05:00,22:13:00
22:35:00,22:43:00
23:05:00,23:13:00
23:35:00,23:43:00
00:05:00,00:13:00
00:35:00,00:43:00
01:05:00,01:13:00

Block: 297-----------------------
06:17:00,06:27:00
06:50:00,06:58:00
07:17:00,07:27:00
07:50:00,07:58:00
08:17:00,08:27:00
08:50:00,08:58:00
09:17:00,09:27:00
09:50:00,09:58:00
10:17:00,10:27:00
10:50:00,10:58:00
11:17:00,11:27:00
11:50:00,11:58:00
12:17:00,12:27:00
12:50:00,12:58:00
13:17:00,13:27:00
13:50:00,13:58:00
14:17:00,14:27:00
14:50:00,14:58:00
15:17:00,15:27:00
15:50:00,15:58:00
16:17:00,16:27:00
16:50:00,16:58:00
17:17:00,17:27:00
17:50:00,17:58:00
18:17:00,18:27:00
18:50:00,18:58:00
19:17:00,19:27:00
19:50:00,19:58:00
20:17:00,20:27:00
20:50:00,20:58:00
21:17:00,21:27:00
21:50:00,21:58:00
22:17:00,22:27:00
22:50:00,22:58:00
23:17:00,23:27:00
23:50:00,23:58:00
00:17:00,00:27:00
00:50:00,00:58:00
01:17:00,--
