mayhall_p,currier_p

Block: 143-----------------------
06:50:00,06:54:00
07:10:00,07:14:00
07:30:00,07:34:00
07:50:00,07:54:00
08:10:00,08:14:00
08:30:00,08:34:00
08:50:00,08:54:00
09:10:00,09:14:00
09:30:00,09:34:00
09:50:00,09:54:00
10:10:00,10:14:00
10:30:00,10:34:00
10:50:00,10:54:00
11:10:00,11:14:00
11:30:00,11:34:00
11:50:00,11:54:00
12:10:00,12:14:00
12:30:00,12:34:00
12:50:00,12:54:00
13:10:00,13:14:00
13:30:00,13:34:00
13:50:00,13:54:00
14:10:00,14:14:00
14:30:00,14:34:00
14:50:00,14:54:00
15:10:00,15:14:00
15:30:00,15:34:00
15:50:00,15:54:00
16:10:00,16:14:00
16:30:00,16:34:00
16:50:00,16:54:00
17:10:00,17:14:00
17:30:00,17:34:00

Block: 298-----------------------
06:50:00,06:54:00
07:10:00,07:14:00
07:30:00,07:34:00
07:50:00,07:54:00
08:10:00,08:14:00
08:30:00,08:34:00
08:50:00,08:54:00
09:10:00,09:14:00
09:30:00,09:34:00
09:50:00,09:54:00
10:10:00,10:14:00
10:30:00,10:34:00
10:50:00,10:54:00
11:10:00,11:14:00
11:30:00,11:34:00
11:50:00,11:54:00
12:10:00,12:14:00
12:30:00,12:34:00
12:50:00,12:54:00
13:10:00,13:14:00
13:30:00,13:34:00
13:50:00,13:54:00
14:10:00,14:14:00
14:30:00,14:34:00
14:50:00,14:54:00
15:10:00,15:14:00
15:30:00,15:34:00
15:50:00,15:54:00
16:10:00,16:14:00
16:30:00,16:34:00
16:50:00,16:54:00
17:10:00,17:14:00
17:30:00,17:34:00
17:50:00,17:54:00
18:10:00,18:14:00
18:30:00,18:34:00
18:50:00,18:54:00
19:10:00,19:14:00
19:30:00,19:34:00
19:50:00,19:54:00
20:10:00,20:14:00
20:30:00,20:34:00
20:50:00,20:54:00
21:10:00,21:14:00
21:30:00,21:34:00
21:50:00,21:54:00
22:10:00,22:14:00
22:30:00,22:34:00
22:50:00,22:54:00
23:10:00,23:14:00
23:30:00,23:34:00
23:50:00,23:54:00
00:10:00,00:14:00
00:30:00,00:34:00
00:50:00,00:54:00
01:10:00,01:14:00
01:30:00,--
