machall_fa,schfhall_fa,valoop_fa,arnaw_pm

Block: 331-----------------------
06:21:00,06:25:00,06:31:00,--
06:51:00,06:55:00,07:01:00,--
07:21:00,07:25:00,07:31:00,--
07:51:00,07:55:00,08:01:00,--
08:21:00,08:25:00,08:31:00,--
08:51:00,08:55:00,09:01:00,--
09:21:00,09:25:00,09:31:00,--
09:51:00,09:55:00,10:01:00,--
10:21:00,10:25:00,10:31:00,--
10:51:00,10:55:00,11:01:00,--
11:21:00,11:25:00,11:31:00,--
11:51:00,11:55:00,12:01:00,12:03:00
12:21:00,12:25:00,12:31:00,12:33:00
12:51:00,12:55:00,13:01:00,13:03:00
13:21:00,13:25:00,13:31:00,13:33:00
13:51:00,13:55:00,14:01:00,14:03:00
14:21:00,14:25:00,14:31:00,14:33:00
14:51:00,14:55:00,15:01:00,15:03:00
15:21:00,15:25:00,15:31:00,15:33:00
15:51:00,15:55:00,16:01:00,16:03:00
16:21:00,16:25:00,16:31:00,16:33:00
16:51:00,16:55:00,17:01:00,17:03:00
17:21:00,17:25:00,17:31:00,17:33:00
17:51:00,17:55:00,18:01:00,18:03:00
18:21:00,18:25:00,18:31:00,18:33:00

Block: 332-----------------------
06:36:00,06:40:00,06:46:00,--
07:06:00,07:10:00,07:16:00,--
07:36:00,07:40:00,07:46:00,--
08:06:00,08:10:00,08:16:00,--
08:36:00,08:40:00,08:46:00,--
09:06:00,09:10:00,09:16:00,--
09:36:00,09:40:00,09:46:00,--
10:06:00,10:10:00,10:16:00,--
10:36:00,10:40:00,10:46:00,--
11:06:00,11:10:00,11:16:00,--
11:36:00,11:40:00,11:46:00,--
12:06:00,12:10:00,12:16:00,12:18:00
12:36:00,12:40:00,12:46:00,12:48:00
13:06:00,13:10:00,13:16:00,13:18:00
13:36:00,13:40:00,13:46:00,13:48:00
14:06:00,14:10:00,14:16:00,14:18:00
14:36:00,14:40:00,14:46:00,14:48:00
15:06:00,15:10:00,15:16:00,15:18:00
15:36:00,15:40:00,15:46:00,15:48:00
16:06:00,16:10:00,16:16:00,16:18:00
16:36:00,16:40:00,16:46:00,16:48:00
17:06:00,17:10:00,17:16:00,17:18:00
17:36:00,17:40:00,17:46:00,17:48:00
18:06:00,18:10:00,18:16:00,18:18:00
18:36:00,18:40:00,18:46:00,18:48:00
