camoff_fa,shosp_fa,machall_fa,schfhall_fa,vahosp_fa,camoff_a

Block: 333-----------------------
18:45:00,18:47:00,19:02:00,19:05:00,19:10:00,--
19:15:00,19:17:00,19:32:00,19:35:00,19:40:00,--
19:45:00,19:47:00,20:02:00,20:05:00,20:10:00,--
20:15:00,20:17:00,20:32:00,20:35:00,20:40:00,--
20:45:00,20:47:00,21:02:00,21:05:00,21:10:00,--
21:15:00,21:17:00,21:32:00,21:35:00,21:40:00,--
21:45:00,21:47:00,22:02:00,22:05:00,22:10:00,--
22:15:00,22:17:00,22:32:00,22:35:00,22:40:00,--
22:45:00,22:47:00,23:02:00,23:05:00,23:10:00,--
23:15:00,23:17:00,23:32:00,23:35:00,23:40:00,--
23:45:00,23:47:00,00:02:00,00:05:00,00:10:00,--
00:15:00,00:17:00,00:32:00,--,--,--

Block: 334-----------------------
19:00:00,19:02:00,19:17:00,19:20:00,19:25:00,--
19:30:00,19:32:00,19:47:00,19:50:00,19:55:00,--
20:00:00,20:02:00,20:17:00,20:20:00,20:25:00,--
20:30:00,20:32:00,20:47:00,20:50:00,20:55:00,21:00:00
