rschpkes_c,ireh_c,valoop_a

Block: 335-----------------------
06:21:00,06:27:00,--
07:06:00,07:12:00,--
08:01:00,08:07:00,08:30:00

Block: 336-----------------------
08:51:00,08:57:00,--
09:36:00,09:42:00,--
10:21:00,10:27:00,--
11:06:00,11:12:00,--
11:51:00,11:57:00,--
12:36:00,12:42:00,--
13:21:00,13:27:00,--
14:06:00,14:12:00,--
14:51:00,14:57:00,--
15:36:00,15:42:00,--
16:21:00,16:27:00,--
17:06:00,17:12:00,17:30:00

Block: 337-----------------------
17:51:00,17:57:00,--
18:36:00,18:42:00,--
19:21:00,19:27:00,19:45:00
