crlrdmall_i,9st21av_i,5st10av_i,1av5st_i,hardlib_i,clintwash_a

Block: 4-----------------------
15:25:00,15:29:00,15:34:00,15:37:00,15:43:00,15:49:00
16:25:00,16:29:00,16:34:00,16:37:00,16:43:00,16:49:00
17:25:00,17:29:00,17:34:00,17:37:00,17:43:00,17:49:00

Block: 31-----------------------
06:25:00,06:29:00,06:34:00,06:37:00,06:43:00,06:49:00
07:25:00,07:29:00,07:34:00,07:37:00,07:43:00,07:49:00
08:25:00,08:29:00,08:34:00,08:37:00,08:43:00,08:49:00
09:25:00,09:29:00,09:34:00,09:37:00,09:43:00,09:49:00
10:25:00,10:29:00,10:34:00,10:37:00,10:43:00,10:49:00
11:25:00,11:29:00,11:34:00,11:37:00,11:43:00,11:49:00
12:25:00,12:29:00,12:34:00,12:37:00,12:43:00,12:49:00

Block: 32-----------------------
13:25:00,13:29:00,13:34:00,13:37:00,13:43:00,13:49:00
14:25:00,14:29:00,14:34:00,14:37:00,14:43:00,14:49:00

Block: 61-----------------------
06:55:00,06:59:00,07:04:00,07:07:00,07:13:00,07:19:00
07:55:00,07:59:00,08:04:00,08:07:00,08:13:00,08:19:00
08:55:00,08:59:00,09:04:00,09:07:00,09:13:00,09:19:00

Block: 62-----------------------
15:55:00,15:59:00,16:04:00,16:07:00,16:13:00,16:19:00
16:55:00,16:59:00,17:04:00,17:07:00,17:13:00,17:19:00
17:55:00,17:59:00,18:04:00,18:07:00,18:13:00,18:19:00
