crlrdmall_o,comhwy965_o,hrtcom_o,coralhldy_o,hldynrdg_o,lynnhldy_o,nrdg12av_i

Block: 72-----------------------
08:50:00,08:53:00,08:54:00,08:56:00,08:59:00,09:00:00,09:02:00
09:20:00,09:23:00,09:24:00,09:26:00,09:29:00,09:30:00,09:32:00
09:50:00,09:53:00,09:54:00,09:56:00,09:59:00,10:00:00,10:02:00
10:20:00,10:23:00,10:24:00,10:26:00,10:29:00,10:30:00,10:32:00
10:50:00,10:53:00,10:54:00,10:56:00,10:59:00,11:00:00,11:02:00

Block: 73-----------------------
11:20:00,11:23:00,11:24:00,11:26:00,11:29:00,11:30:00,11:32:00
11:50:00,11:53:00,11:54:00,11:56:00,11:59:00,12:00:00,12:02:00
12:20:00,12:23:00,12:24:00,12:26:00,12:29:00,12:30:00,12:32:00
12:50:00,12:53:00,12:54:00,12:56:00,12:59:00,13:00:00,13:02:00
13:20:00,13:23:00,13:24:00,13:26:00,13:29:00,13:30:00,13:32:00
13:50:00,13:53:00,13:54:00,13:56:00,13:59:00,14:00:00,14:02:00
