5st10av_o,9st21av_o,clintwash_o,vahosp_o

Block: 81-----------------------
--,--,18:10:00,18:16:00
18:25:00,18:28:00,19:10:00,19:16:00
19:25:00,19:28:00,20:10:00,20:16:00
20:25:00,20:28:00,21:10:00,21:16:00
21:25:00,21:28:00,--,--

Block: 82-----------------------
--,--,22:20:00,22:26:00
22:35:00,22:38:00,23:20:00,23:26:00
23:35:00,23:38:00,--,--

Block: 83-----------------------
--,--,22:20:00,22:26:00
22:35:00,22:38:00,--,--

Block: 111-----------------------
07:15:00,07:18:00,08:00:00,08:06:00
08:15:00,08:18:00,09:00:00,09:06:00
09:15:00,09:18:00,10:00:00,10:06:00
10:15:00,10:18:00,11:00:00,11:06:00
11:15:00,11:18:00,--,--

Block: 112-----------------------
--,--,12:15:00,12:21:00
12:30:00,12:33:00,13:15:00,13:21:00
13:30:00,13:33:00,14:15:00,14:21:00
14:30:00,14:33:00,15:15:00,15:21:00
15:30:00,15:33:00,16:15:00,16:21:00
16:30:00,16:33:00,17:15:00,17:21:00
17:30:00,17:33:00,--,--

Block: 113-----------------------
--,--,18:30:00,18:36:00
18:45:00,18:48:00,19:30:00,19:36:00
19:45:00,19:48:00,--,--
