bonaire_i,miamcalf_i,kmart_i,gilkrik_i,downinteb_a

Block: 1-----------------------
06:08:00,06:11:00,06:17:00,06:22:00,06:27:00
08:08:00,08:11:00,08:17:00,08:22:00,08:27:00
10:08:00,10:11:00,10:17:00,10:22:00,10:27:00
12:08:00,12:11:00,12:17:00,12:22:00,12:27:00

Block: 2-----------------------
07:08:00,07:11:00,07:17:00,07:22:00,07:27:00
09:08:00,09:11:00,09:17:00,09:22:00,09:27:00
11:08:00,11:11:00,11:17:00,11:22:00,11:27:00
13:08:00,13:11:00,13:17:00,13:22:00,13:27:00

Block: 32-----------------------
15:08:00,15:11:00,15:17:00,15:22:00,15:27:00
17:08:00,17:11:00,17:17:00,17:22:00,17:27:00
19:08:00,19:11:00,19:17:00,19:22:00,19:27:00
--,21:03:00,21:05:00,--,21:08:00

Block: 51-----------------------
06:38:00,06:41:00,06:47:00,06:52:00,06:57:00
08:38:00,08:41:00,08:47:00,08:52:00,08:57:00
16:38:00,16:41:00,16:47:00,16:52:00,16:57:00
18:38:00,18:41:00,18:47:00,18:52:00,18:57:00

Block: 52-----------------------
07:38:00,07:41:00,07:47:00,07:52:00,07:57:00
15:38:00,15:41:00,15:47:00,15:52:00,15:57:00
17:38:00,17:41:00,17:47:00,17:52:00,17:57:00

Block: 61-----------------------
14:08:00,14:11:00,14:17:00,14:22:00,14:27:00
16:08:00,16:11:00,16:17:00,16:22:00,16:27:00
18:08:00,18:11:00,18:17:00,18:22:00,18:27:00

Block: 71-----------------------
20:08:00,20:11:00,20:17:00,20:22:00,20:27:00
--,22:03:00,22:05:00,--,22:08:00

Block: 101-----------------------
06:08:00,06:11:00,06:17:00,06:22:00,06:27:00
08:08:00,08:11:00,08:17:00,08:22:00,08:27:00
10:08:00,10:11:00,10:17:00,10:22:00,10:27:00
12:08:00,12:11:00,12:17:00,12:22:00,12:27:00

Block: 102-----------------------
07:08:00,07:11:00,07:17:00,07:22:00,07:27:00
09:08:00,09:11:00,09:17:00,09:22:00,09:27:00
11:08:00,11:11:00,11:17:00,11:22:00,11:27:00
13:08:00,13:11:00,13:17:00,13:22:00,13:27:00

Block: 132-----------------------
15:08:00,15:11:00,15:17:00,15:22:00,15:27:00
17:08:00,17:11:00,17:17:00,17:22:00,17:27:00
19:08:00,19:11:00,19:17:00,19:22:00,19:27:00

Block: 161-----------------------
14:08:00,14:11:00,14:17:00,14:22:00,14:27:00
16:08:00,16:11:00,16:17:00,16:22:00,16:27:00
18:08:00,18:11:00,18:17:00,18:22:00,18:27:00
