downinte_d,bowedodg_o,kirkcoll_o,iowadot_o,hnzsctt_o,hnzhwy6_i

Block: 6-----------------------
--,--,--,--,06:20:00,06:23:00
08:00:00,08:06:00,08:10:00,08:12:00,--,--
10:00:00,10:06:00,10:10:00,10:12:00,10:20:00,10:23:00
12:00:00,12:06:00,12:10:00,12:12:00,12:20:00,12:23:00

Block: 26-----------------------
11:00:00,11:06:00,11:10:00,11:12:00,11:20:00,11:23:00
13:00:00,13:06:00,13:10:00,13:12:00,13:20:00,13:23:00
15:00:00,15:06:00,15:10:00,15:12:00,15:20:00,15:23:00
17:00:00,17:06:00,17:10:00,17:12:00,17:20:00,17:23:00

Block: 46-----------------------
07:00:00,07:06:00,07:10:00,07:12:00,07:20:00,07:23:00
09:00:00,09:06:00,09:10:00,09:12:00,09:20:00,09:23:00

Block: 56-----------------------
06:30:00,06:36:00,06:40:00,06:42:00,06:50:00,06:53:00
08:30:00,08:36:00,08:40:00,08:42:00,08:50:00,08:53:00
15:30:00,15:36:00,15:40:00,15:42:00,15:50:00,15:53:00
17:30:00,17:36:00,17:40:00,17:42:00,17:50:00,17:53:00

Block: 57-----------------------
07:30:00,07:36:00,07:40:00,07:42:00,07:50:00,07:53:00
16:30:00,16:36:00,16:40:00,16:42:00,16:50:00,16:53:00

Block: 66-----------------------
14:00:00,14:06:00,14:10:00,14:12:00,14:20:00,14:23:00
16:00:00,16:06:00,16:10:00,16:12:00,--,--
18:00:00,18:06:00,18:10:00,18:12:00,18:20:00,18:23:00
