frsttrpk_i,uppark_i,leehigh_i,merf_i,downint_a

Block: 3-----------------------
07:09:00,07:14:00,07:15:00,07:20:00,07:25:00
09:09:00,09:14:00,09:15:00,09:20:00,09:25:00
11:09:00,11:14:00,11:15:00,11:20:00,11:25:00
13:09:00,13:14:00,13:15:00,13:20:00,13:25:00

Block: 4-----------------------
08:09:00,08:14:00,08:15:00,08:20:00,08:25:00
10:09:00,10:14:00,10:15:00,10:20:00,10:25:00
12:09:00,12:14:00,12:15:00,12:20:00,12:25:00
14:09:00,14:14:00,14:15:00,14:20:00,14:25:00

Block: 33-----------------------
15:09:00,15:14:00,15:15:00,15:20:00,15:25:00
17:09:00,17:14:00,17:15:00,17:20:00,17:25:00

Block: 34-----------------------
16:09:00,16:14:00,16:15:00,16:20:00,16:25:00
18:09:00,18:14:00,18:15:00,18:20:00,18:25:00

Block: 53-----------------------
07:39:00,07:44:00,07:45:00,07:50:00,07:55:00
15:39:00,15:44:00,15:45:00,15:50:00,15:55:00
17:39:00,17:44:00,17:45:00,17:50:00,17:55:00

Block: 54-----------------------
06:39:00,06:44:00,06:45:00,06:50:00,06:55:00
08:39:00,08:44:00,08:45:00,08:50:00,08:55:00
16:39:00,16:44:00,16:45:00,16:50:00,16:55:00
18:39:00,18:44:00,18:45:00,18:50:00,18:55:00
