downint_o,newtramp_o,leepark_o,uppark_o,fostlaur_o,fostswsh_o

Block: 3-----------------------
06:45:00,06:49:00,06:52:00,06:54:00,06:59:00,07:04:00
08:45:00,08:49:00,08:52:00,08:54:00,08:59:00,09:04:00
10:45:00,10:49:00,10:52:00,10:54:00,10:59:00,11:04:00
12:45:00,12:49:00,12:52:00,12:54:00,12:59:00,13:04:00

Block: 4-----------------------
07:45:00,07:49:00,07:52:00,07:54:00,07:59:00,08:04:00
09:45:00,09:49:00,09:52:00,09:54:00,09:59:00,10:04:00
11:45:00,11:49:00,11:52:00,11:54:00,11:59:00,12:04:00
13:45:00,13:49:00,13:52:00,13:54:00,13:59:00,14:04:00

Block: 33-----------------------
14:45:00,14:49:00,14:52:00,14:54:00,14:59:00,15:04:00
16:45:00,16:49:00,16:52:00,16:54:00,16:59:00,17:04:00

Block: 34-----------------------
15:45:00,15:49:00,15:52:00,15:54:00,15:59:00,16:04:00
17:45:00,17:49:00,17:52:00,17:54:00,17:59:00,18:04:00

Block: 53-----------------------
07:15:00,07:19:00,07:22:00,07:24:00,07:29:00,07:34:00
15:15:00,15:19:00,15:22:00,15:24:00,15:29:00,15:34:00
17:15:00,17:19:00,17:22:00,17:24:00,17:29:00,17:34:00

Block: 54-----------------------
06:15:00,06:19:00,06:22:00,06:24:00,06:29:00,06:34:00
08:15:00,08:19:00,08:22:00,08:24:00,08:29:00,08:34:00
16:15:00,16:19:00,16:22:00,16:24:00,16:29:00,16:34:00
18:15:00,18:19:00,18:22:00,18:24:00,18:29:00,18:34:00
