downint_o,dubkimb_o,fostlaur_o,fostswsh_o

Block: 33-----------------------
18:45:00,18:48:00,18:52:00,18:57:00
20:45:00,20:48:00,20:52:00,20:57:00

Block: 34-----------------------
19:45:00,19:48:00,19:52:00,19:57:00
21:45:00,21:48:00,21:52:00,21:57:00

Block: 103-----------------------
06:45:00,06:48:00,06:52:00,06:57:00
08:45:00,08:48:00,08:52:00,08:57:00
10:45:00,10:48:00,10:52:00,10:57:00
12:45:00,12:48:00,12:52:00,12:57:00

Block: 104-----------------------
07:45:00,07:48:00,07:52:00,07:57:00
09:45:00,09:48:00,09:52:00,09:57:00
11:45:00,11:48:00,11:52:00,11:57:00

Block: 133-----------------------
14:45:00,14:48:00,14:52:00,14:57:00
16:45:00,16:48:00,16:52:00,16:57:00
18:45:00,18:48:00,18:52:00,18:57:00

Block: 134-----------------------
13:45:00,13:48:00,13:52:00,13:57:00
15:45:00,15:48:00,15:52:00,15:57:00
17:45:00,17:48:00,17:52:00,17:57:00
