downinteb_o,jeffgov_o,roch7th_o,amhrlwbr_o,mtvrroch_o

Block: 33-----------------------
20:00:00,20:05:00,20:07:00,20:11:00,20:17:00

Block: 34-----------------------
19:00:00,19:05:00,19:07:00,19:11:00,19:17:00
21:00:00,21:05:00,21:07:00,21:11:00,21:17:00

Block: 103-----------------------
06:00:00,06:05:00,06:07:00,06:11:00,06:17:00
08:00:00,08:05:00,08:07:00,08:11:00,08:17:00
10:00:00,10:05:00,10:07:00,10:11:00,10:17:00
12:00:00,12:05:00,12:07:00,12:11:00,12:17:00

Block: 104-----------------------
07:00:00,07:05:00,07:07:00,07:11:00,07:17:00
09:00:00,09:05:00,09:07:00,09:11:00,09:17:00
11:00:00,11:05:00,11:07:00,11:11:00,11:17:00
13:00:00,13:05:00,13:07:00,13:11:00,13:17:00

Block: 133-----------------------
14:00:00,14:05:00,14:07:00,14:11:00,14:17:00
16:00:00,16:05:00,16:07:00,16:11:00,16:17:00
18:00:00,18:05:00,18:07:00,18:11:00,18:17:00

Block: 134-----------------------
15:00:00,15:05:00,15:07:00,15:11:00,15:17:00
17:00:00,17:05:00,17:07:00,17:11:00,17:17:00
19:00:00,19:05:00,19:07:00,19:11:00,19:17:00
