grenbent_o,sunsdenb_o,downint_o,hospeent_o,sunsmelr_o

Block: 75-----------------------
--,--,19:00:00,19:05:00,19:08:00
19:12:00,19:15:00,20:00:00,20:05:00,20:08:00
20:12:00,20:15:00,21:00:00,21:05:00,21:08:00
21:12:00,21:15:00,22:00:00,22:05:00,22:08:00
22:12:00,22:15:00,--,--,--

Block: 105-----------------------
06:12:00,06:15:00,07:00:00,07:05:00,07:08:00
07:12:00,07:15:00,08:00:00,08:05:00,08:08:00
08:12:00,08:15:00,09:00:00,09:05:00,09:08:00
09:12:00,09:15:00,10:00:00,10:05:00,10:08:00
10:12:00,10:15:00,11:00:00,11:05:00,11:08:00
11:12:00,11:15:00,12:00:00,12:05:00,12:08:00
12:12:00,12:15:00,13:00:00,13:05:00,13:08:00
13:12:00,13:15:00,--,--,--

Block: 165-----------------------
--,--,14:00:00,14:05:00,14:08:00
14:12:00,14:15:00,15:00:00,15:05:00,15:08:00
15:12:00,15:15:00,16:00:00,16:05:00,16:08:00
16:12:00,16:15:00,17:00:00,17:05:00,17:08:00
17:12:00,17:15:00,18:00:00,18:05:00,18:08:00
18:12:00,18:15:00,19:00:00,19:05:00,19:08:00
19:12:00,19:15:00,--,--,--
