westwmelr_i,melrsuns_i,merf_i,downinte_a

Block: 6-----------------------
--,07:46:00,07:53:00,07:58:00
09:42:00,09:46:00,09:53:00,09:58:00
11:42:00,11:46:00,11:53:00,11:58:00
13:42:00,13:46:00,13:53:00,13:58:00

Block: 26-----------------------
12:42:00,12:46:00,12:53:00,12:58:00
14:42:00,14:46:00,14:53:00,14:58:00
16:42:00,16:46:00,16:53:00,16:58:00
18:42:00,18:46:00,18:53:00,18:58:00

Block: 46-----------------------
06:42:00,06:46:00,06:53:00,06:58:00
08:42:00,08:46:00,08:53:00,08:58:00
10:42:00,10:46:00,10:53:00,10:58:00

Block: 56-----------------------
08:12:00,08:16:00,08:23:00,08:28:00
15:12:00,15:16:00,15:23:00,15:28:00
17:12:00,17:16:00,17:23:00,17:28:00

Block: 57-----------------------
07:12:00,07:16:00,07:23:00,07:28:00
09:12:00,09:16:00,09:23:00,09:28:00
16:12:00,16:16:00,16:23:00,16:28:00
18:12:00,18:16:00,18:23:00,18:28:00

Block: 66-----------------------
15:42:00,15:46:00,15:53:00,15:58:00
17:42:00,17:46:00,17:53:00,17:58:00
