vlgvlg_i,walgreens_i,musc7th_i,burlsum_i,downint_a

Block: 5-----------------------
06:45:00,06:48:00,06:50:00,06:52:00,06:57:00
07:45:00,07:48:00,07:50:00,07:52:00,07:57:00
08:45:00,08:48:00,08:50:00,08:52:00,08:57:00
09:45:00,09:48:00,09:50:00,09:52:00,09:57:00
10:45:00,10:48:00,10:50:00,10:52:00,10:57:00
11:45:00,11:48:00,11:50:00,11:52:00,11:57:00
12:45:00,12:48:00,12:50:00,12:52:00,12:57:00

Block: 25-----------------------
11:15:00,11:18:00,11:20:00,11:22:00,11:27:00
12:15:00,12:18:00,12:20:00,12:22:00,12:27:00
13:15:00,13:18:00,13:20:00,13:22:00,13:27:00
14:15:00,14:18:00,14:20:00,14:22:00,14:27:00
15:15:00,15:18:00,15:20:00,15:22:00,15:27:00
16:15:00,16:18:00,16:20:00,16:22:00,16:27:00
17:15:00,17:18:00,17:20:00,17:22:00,17:27:00
18:15:00,18:18:00,18:20:00,18:22:00,18:27:00

Block: 45-----------------------
06:15:00,06:18:00,06:20:00,06:22:00,06:27:00
07:15:00,07:18:00,07:20:00,07:22:00,07:27:00
08:15:00,08:18:00,08:20:00,08:22:00,08:27:00
09:15:00,09:18:00,09:20:00,09:22:00,09:27:00
10:15:00,10:18:00,10:20:00,10:22:00,10:27:00

Block: 65-----------------------
13:45:00,13:48:00,13:50:00,13:52:00,13:57:00
14:45:00,14:48:00,14:50:00,14:52:00,14:57:00
15:45:00,15:48:00,15:50:00,15:52:00,15:57:00
16:45:00,16:48:00,16:50:00,16:52:00,16:57:00
17:45:00,17:48:00,17:50:00,17:52:00,17:57:00

Block: 205-----------------------
06:45:00,06:48:00,06:50:00,06:52:00,06:57:00
07:45:00,07:48:00,07:50:00,07:52:00,07:57:00
08:45:00,08:48:00,08:50:00,08:52:00,08:57:00
09:45:00,09:48:00,09:50:00,09:52:00,09:57:00
10:45:00,10:48:00,10:50:00,10:52:00,10:57:00
11:45:00,11:48:00,11:50:00,11:52:00,11:57:00
12:45:00,12:48:00,12:50:00,12:52:00,12:57:00

Block: 255-----------------------
06:15:00,06:18:00,06:20:00,06:22:00,06:27:00
07:15:00,07:18:00,07:20:00,07:22:00,07:27:00
08:15:00,08:18:00,08:20:00,08:22:00,08:27:00
15:15:00,15:18:00,15:20:00,15:22:00,15:27:00
16:15:00,16:18:00,16:20:00,16:22:00,16:27:00
17:15:00,17:18:00,17:20:00,17:22:00,17:27:00
18:15:00,18:18:00,18:20:00,18:22:00,18:27:00

Block: 265-----------------------
13:45:00,13:48:00,13:50:00,13:52:00,13:57:00
14:45:00,14:48:00,14:50:00,14:52:00,14:57:00
15:45:00,15:48:00,15:50:00,15:52:00,15:57:00
16:45:00,16:48:00,16:50:00,16:52:00,16:57:00
17:45:00,17:48:00,17:50:00,17:52:00,17:57:00
