downinteb_o,burlsum_o,musc7th_o,walgreens_o,vlgvlg_a

Block: 5-----------------------
06:30:00,06:36:00,06:38:00,06:40:00,06:44:00
07:30:00,07:36:00,07:38:00,07:40:00,07:44:00
08:30:00,08:36:00,08:38:00,08:40:00,08:44:00
09:30:00,09:36:00,09:38:00,09:40:00,09:44:00
10:30:00,10:36:00,10:38:00,10:40:00,10:44:00
11:30:00,11:36:00,11:38:00,11:40:00,11:44:00
12:30:00,12:36:00,12:38:00,12:40:00,12:44:00

Block: 25-----------------------
11:00:00,11:06:00,11:08:00,11:10:00,11:14:00
12:00:00,12:06:00,12:08:00,12:10:00,12:14:00
13:00:00,13:06:00,13:08:00,13:10:00,13:14:00
14:00:00,14:06:00,14:08:00,14:10:00,14:14:00
15:00:00,15:06:00,15:08:00,15:10:00,15:14:00
16:00:00,16:06:00,16:08:00,16:10:00,16:14:00
17:00:00,17:06:00,17:08:00,17:10:00,17:14:00
18:00:00,18:06:00,18:08:00,18:10:00,18:14:00

Block: 45-----------------------
--,--,--,06:11:00,06:15:00
07:00:00,07:06:00,07:08:00,07:10:00,07:14:00
08:00:00,08:06:00,08:08:00,08:10:00,08:14:00
09:00:00,09:06:00,09:08:00,09:10:00,09:14:00
10:00:00,10:06:00,10:08:00,10:10:00,10:14:00

Block: 65-----------------------
13:30:00,13:36:00,13:38:00,13:40:00,13:44:00
14:30:00,14:36:00,14:38:00,14:40:00,14:44:00
15:30:00,15:36:00,15:38:00,15:40:00,15:44:00
16:30:00,16:36:00,16:38:00,16:40:00,16:44:00
17:30:00,17:36:00,17:38:00,17:40:00,17:44:00

Block: 205-----------------------
06:30:00,06:36:00,06:38:00,06:40:00,06:44:00
07:30:00,07:36:00,07:38:00,07:40:00,07:44:00
08:30:00,08:36:00,08:38:00,08:40:00,08:44:00
09:30:00,09:36:00,09:38:00,09:40:00,09:44:00
10:30:00,10:36:00,10:38:00,10:40:00,10:44:00
11:30:00,11:36:00,11:38:00,11:40:00,11:44:00
12:30:00,12:36:00,12:38:00,12:40:00,12:44:00

Block: 255-----------------------
--,--,--,06:11:00,06:15:00
07:00:00,07:06:00,07:08:00,07:10:00,07:14:00
08:00:00,08:06:00,08:08:00,08:10:00,08:14:00
15:00:00,15:06:00,15:08:00,15:10:00,15:14:00
16:00:00,16:06:00,16:08:00,16:10:00,16:14:00
17:00:00,17:06:00,17:08:00,17:10:00,17:14:00
18:00:00,18:06:00,18:08:00,18:10:00,18:14:00

Block: 265-----------------------
13:30:00,13:36:00,13:38:00,13:40:00,13:44:00
14:30:00,14:36:00,14:38:00,14:40:00,14:44:00
15:30:00,15:36:00,15:38:00,15:40:00,15:44:00
16:30:00,16:36:00,16:38:00,16:40:00,16:44:00
17:30:00,17:36:00,17:38:00,17:40:00,17:44:00
