vlgvlg_i,walgreens_i,musc7th_i,burlsum_i,downint_a

Block: 75-----------------------
18:45:00,18:48:00,18:50:00,18:52:00,18:57:00
19:45:00,19:48:00,19:50:00,19:52:00,19:57:00
20:45:00,20:48:00,20:50:00,20:52:00,20:57:00
21:45:00,21:48:00,21:50:00,21:52:00,21:57:00

Block: 105-----------------------
06:45:00,06:48:00,06:50:00,06:52:00,06:57:00
07:45:00,07:48:00,07:50:00,07:52:00,07:57:00
08:45:00,08:48:00,08:50:00,08:52:00,08:57:00
09:45:00,09:48:00,09:50:00,09:52:00,09:57:00
10:45:00,10:48:00,10:50:00,10:52:00,10:57:00
11:45:00,11:48:00,11:50:00,11:52:00,11:57:00
12:45:00,12:48:00,12:50:00,12:52:00,12:57:00

Block: 165-----------------------
13:45:00,13:48:00,13:50:00,13:52:00,13:57:00
14:45:00,14:48:00,14:50:00,14:52:00,14:57:00
15:45:00,15:48:00,15:50:00,15:52:00,15:57:00
16:45:00,16:48:00,16:50:00,16:52:00,16:57:00
17:45:00,17:48:00,17:50:00,17:52:00,17:57:00
18:45:00,18:48:00,18:50:00,18:52:00,18:57:00
