downinteb_o,colsum_o,sher7th_o,walgreens_o,vlgvlg_a

Block: 75-----------------------
18:30:00,18:35:00,18:38:00,18:40:00,18:44:00
19:30:00,19:35:00,19:38:00,19:40:00,19:44:00
20:30:00,20:35:00,20:38:00,20:40:00,20:44:00
21:30:00,21:35:00,21:38:00,21:40:00,21:44:00

Block: 105-----------------------
06:30:00,06:35:00,06:38:00,06:40:00,--
07:30:00,07:35:00,07:38:00,07:40:00,--
08:30:00,08:35:00,08:38:00,08:40:00,--
09:30:00,09:35:00,09:38:00,09:40:00,--
10:30:00,10:35:00,10:38:00,10:40:00,--
11:30:00,11:35:00,11:38:00,11:40:00,--
12:30:00,12:35:00,12:38:00,12:40:00,--

Block: 165-----------------------
13:30:00,13:35:00,13:38:00,13:40:00,--
14:30:00,14:35:00,14:38:00,14:40:00,--
15:30:00,15:35:00,15:38:00,15:40:00,--
16:30:00,16:35:00,16:38:00,16:40:00,--
17:30:00,17:35:00,17:38:00,17:40:00,--
18:30:00,18:35:00,18:38:00,18:40:00,--
