phnxrohr_i,mormbent_i,wesgmelr_i,uimain_i,merf_i,downinteb_a

Block: 20-----------------------
12:47:00,12:53:00,12:56:00,13:02:00,13:06:00,13:11:00
14:47:00,14:53:00,14:56:00,15:02:00,15:06:00,15:11:00
16:47:00,16:53:00,16:56:00,17:02:00,17:06:00,17:11:00
18:47:00,18:53:00,18:56:00,19:02:00,19:06:00,19:11:00

Block: 29-----------------------
11:32:00,11:38:00,11:41:00,11:46:00,11:50:00,11:55:00
13:47:00,13:53:00,13:56:00,14:02:00,14:06:00,14:11:00
15:47:00,15:53:00,15:56:00,16:02:00,16:06:00,16:11:00
17:47:00,17:53:00,17:56:00,18:02:00,18:06:00,18:11:00

Block: 40-----------------------
06:32:00,06:38:00,06:41:00,06:46:00,06:50:00,06:55:00
08:32:00,08:38:00,08:41:00,08:46:00,08:50:00,08:55:00
10:32:00,10:38:00,10:41:00,10:46:00,10:50:00,10:55:00

Block: 49-----------------------
07:32:00,07:38:00,07:41:00,07:46:00,07:50:00,07:55:00
09:32:00,09:38:00,09:41:00,09:46:00,09:50:00,09:55:00
