downinte_d,bentrive_o,westplaz1_o,gatetran_o,thatbacu_o

Block: 28-----------------------
11:30:00,11:34:00,11:39:00,11:43:00,11:47:00
12:30:00,12:34:00,12:39:00,12:43:00,12:47:00
13:30:00,13:34:00,13:39:00,13:43:00,13:47:00
14:30:00,14:34:00,14:39:00,14:43:00,14:47:00
15:30:00,15:34:00,15:39:00,15:43:00,15:47:00
16:30:00,16:34:00,16:39:00,16:43:00,16:47:00
17:30:00,17:34:00,17:39:00,17:43:00,17:47:00
18:30:00,18:34:00,18:39:00,18:43:00,18:47:00

Block: 48-----------------------
06:30:00,06:34:00,06:39:00,06:43:00,06:47:00
07:30:00,07:34:00,07:39:00,07:43:00,07:47:00
08:30:00,08:34:00,08:39:00,08:43:00,08:47:00
09:30:00,09:34:00,09:39:00,09:43:00,09:47:00
10:30:00,10:34:00,10:39:00,10:43:00,10:47:00
