phearidg_i,melrsuns_i,uimain_i,merf_i,downinte_a

Block: 32-----------------------
19:56:00,20:00:00,20:03:00,20:07:00,20:12:00
21:56:00,22:00:00,22:03:00,22:07:00,22:12:00

Block: 71-----------------------
18:56:00,19:00:00,19:03:00,19:07:00,19:12:00
20:56:00,21:00:00,21:03:00,21:07:00,21:12:00
22:56:00,--,--,--,--

Block: 101-----------------------
06:56:00,07:00:00,07:03:00,07:07:00,07:12:00
08:56:00,09:00:00,09:03:00,09:07:00,09:12:00
10:56:00,11:00:00,11:03:00,11:07:00,11:12:00
12:56:00,13:00:00,13:03:00,13:07:00,13:12:00

Block: 102-----------------------
07:56:00,08:00:00,08:03:00,08:07:00,08:12:00
09:56:00,10:00:00,10:03:00,10:07:00,10:12:00
11:56:00,12:00:00,12:03:00,12:07:00,12:12:00

Block: 132-----------------------
13:56:00,14:00:00,14:03:00,14:07:00,14:12:00
15:56:00,16:00:00,16:03:00,16:07:00,16:12:00
17:56:00,18:00:00,18:03:00,18:07:00,18:12:00

Block: 161-----------------------
14:56:00,15:00:00,15:03:00,15:07:00,15:12:00
16:56:00,17:00:00,17:03:00,17:07:00,17:12:00
18:56:00,19:00:00,19:03:00,19:07:00,19:12:00
