downinte_d,newtramp_o,melrsuns_o,denbsuns_o,westjeff_o

Block: 32-----------------------
19:30:00,19:35:00,19:40:00,19:45:00,19:49:00
21:30:00,21:35:00,21:40:00,21:45:00,21:49:00

Block: 71-----------------------
18:30:00,18:35:00,18:40:00,18:45:00,18:49:00
20:30:00,20:35:00,20:40:00,20:45:00,20:49:00
22:30:00,22:35:00,22:40:00,22:45:00,22:49:00

Block: 101-----------------------
06:30:00,06:35:00,06:40:00,06:45:00,06:49:00
08:30:00,08:35:00,08:40:00,08:45:00,08:49:00
10:30:00,10:35:00,10:40:00,10:45:00,10:49:00
12:30:00,12:35:00,12:40:00,12:45:00,12:49:00

Block: 102-----------------------
07:30:00,07:35:00,07:40:00,07:45:00,07:49:00
09:30:00,09:35:00,09:40:00,09:45:00,09:49:00
11:30:00,11:35:00,11:40:00,11:45:00,11:49:00

Block: 132-----------------------
13:30:00,13:35:00,13:40:00,13:45:00,13:49:00
15:30:00,15:35:00,15:40:00,15:45:00,15:49:00
17:30:00,17:35:00,17:40:00,17:45:00,17:49:00

Block: 161-----------------------
14:30:00,14:35:00,14:40:00,14:45:00,14:49:00
16:30:00,16:35:00,16:40:00,16:45:00,16:49:00
18:30:00,18:35:00,18:40:00,18:45:00,18:49:00
