hawklot1_d,hawkdr1_d,shosp_d,slathall_d,machall_d,mayhall_d

Block: 151-----------------------
06:33:00,06:35:00,06:43:00,06:46:00,06:52:00,07:02:00
07:33:00,07:35:00,07:43:00,07:46:00,07:52:00,08:02:00
08:33:00,08:35:00,08:43:00,08:46:00,08:52:00,09:02:00
09:33:00,09:35:00,09:43:00,09:46:00,09:52:00,10:02:00
10:33:00,10:35:00,10:43:00,10:46:00,10:52:00,11:02:00
11:33:00,11:35:00,11:43:00,11:46:00,11:52:00,12:02:00
12:33:00,12:35:00,12:43:00,12:46:00,12:52:00,13:02:00
13:33:00,13:35:00,13:43:00,13:46:00,13:52:00,14:02:00
14:33:00,14:35:00,14:43:00,14:46:00,14:52:00,15:02:00
15:33:00,15:35:00,15:43:00,15:46:00,15:52:00,16:02:00
16:33:00,16:35:00,16:43:00,16:46:00,16:52:00,17:02:00
17:33:00,17:35:00,17:43:00,17:46:00,17:52:00,18:02:00
18:33:00,18:35:00,18:43:00,18:46:00,18:52:00,19:02:00
19:33:00,19:35:00,19:43:00,19:46:00,19:52:00,20:02:00
20:33:00,20:35:00,20:43:00,20:46:00,20:52:00,21:02:00
21:33:00,21:35:00,21:43:00,21:46:00,21:52:00,22:02:00
22:33:00,22:35:00,22:43:00,22:46:00,22:52:00,23:02:00
23:33:00,23:35:00,23:43:00,23:46:00,23:52:00,00:02:00
00:33:00,00:35:00,00:43:00,00:46:00,00:52:00,01:02:00

Block: 152-----------------------
07:03:00,07:05:00,07:13:00,07:16:00,07:22:00,07:32:00
08:03:00,08:05:00,08:13:00,08:16:00,08:22:00,08:32:00
09:03:00,09:05:00,09:13:00,09:16:00,09:22:00,09:32:00
10:03:00,10:05:00,10:13:00,10:16:00,10:22:00,10:32:00
11:03:00,11:05:00,11:13:00,11:16:00,11:22:00,11:32:00
12:03:00,12:05:00,12:13:00,12:16:00,12:22:00,12:32:00
13:03:00,13:05:00,13:13:00,13:16:00,13:22:00,13:32:00
14:03:00,14:05:00,14:13:00,14:16:00,14:22:00,14:32:00
15:03:00,15:05:00,15:13:00,15:16:00,15:22:00,15:32:00
16:03:00,16:05:00,16:13:00,16:16:00,16:22:00,16:32:00
17:03:00,17:05:00,17:13:00,17:16:00,17:22:00,17:32:00
18:03:00,18:05:00,18:13:00,18:16:00,18:22:00,18:32:00
19:03:00,19:05:00,19:13:00,19:16:00,19:22:00,19:32:00
20:03:00,20:05:00,20:13:00,20:16:00,20:22:00,20:32:00
21:03:00,21:05:00,21:13:00,21:16:00,21:22:00,21:32:00

Block: 153-----------------------
11:33:00,11:35:00,11:43:00,11:46:00,11:52:00,12:02:00
12:33:00,12:35:00,12:43:00,12:46:00,12:52:00,13:02:00
13:33:00,13:35:00,13:43:00,13:46:00,13:52:00,14:02:00
14:33:00,14:35:00,14:43:00,14:46:00,14:52:00,15:02:00
15:33:00,15:35:00,15:43:00,15:46:00,15:52:00,16:02:00
16:33:00,16:35:00,16:43:00,16:46:00,16:52:00,17:02:00
17:33:00,17:35:00,17:43:00,17:46:00,17:52:00,18:02:00
18:33:00,18:35:00,18:43:00,18:46:00,18:52:00,19:02:00
19:33:00,19:35:00,19:43:00,19:46:00,19:52:00,20:02:00
20:33:00,20:35:00,20:43:00,20:46:00,20:52:00,21:02:00
21:33:00,21:35:00,21:43:00,21:46:00,21:52:00,22:02:00
22:33:00,22:35:00,22:43:00,22:46:00,22:52:00,23:02:00
23:33:00,23:35:00,23:43:00,23:46:00,23:52:00,00:02:00
00:33:00,00:35:00,00:43:00,00:46:00,00:52:00,01:02:00

Block: 251-----------------------
06:33:00,06:35:00,06:43:00,06:46:00,06:52:00,07:02:00
07:33:00,07:35:00,07:43:00,07:46:00,07:52:00,08:02:00
08:33:00,08:35:00,08:43:00,08:46:00,08:52:00,09:02:00
09:33:00,09:35:00,09:43:00,09:46:00,09:52:00,10:02:00
10:33:00,10:35:00,10:43:00,10:46:00,10:52:00,11:02:00
11:33:00,11:35:00,11:43:00,11:46:00,11:52:00,12:02:00
12:33:00,12:35:00,12:43:00,12:46:00,12:52:00,13:02:00
13:33:00,13:35:00,13:43:00,13:46:00,13:52:00,14:02:00
14:33:00,14:35:00,14:43:00,14:46:00,14:52:00,15:02:00
15:33:00,15:35:00,15:43:00,15:46:00,15:52:00,16:02:00
16:33:00,16:35:00,16:43:00,16:46:00,16:52:00,17:02:00
17:33:00,17:35:00,17:43:00,17:46:00,17:52:00,18:02:00
18:33:00,18:35:00,18:43:00,18:46:00,18:52:00,19:02:00
19:33:00,19:35:00,19:43:00,19:46:00,19:52:00,20:02:00
20:33:00,20:35:00,20:43:00,20:46:00,20:52:00,21:02:00
21:33:00,21:35:00,21:43:00,21:46:00,21:52:00,22:02:00
22:33:00,22:35:00,22:43:00,22:46:00,22:52:00,23:02:00
23:33:00,23:35:00,23:43:00,23:46:00,23:52:00,00:02:00
00:33:00,00:35:00,00:43:00,00:46:00,00:52:00,01:02:00

Block: 252-----------------------
07:03:00,07:05:00,07:13:00,07:16:00,07:22:00,07:32:00
08:03:00,08:05:00,08:13:00,08:16:00,08:22:00,08:32:00
09:03:00,09:05:00,09:13:00,09:16:00,09:22:00,09:32:00
10:03:00,10:05:00,10:13:00,10:16:00,10:22:00,10:32:00
11:03:00,11:05:00,11:13:00,11:16:00,11:22:00,11:32:00
12:03:00,12:05:00,12:13:00,12:16:00,12:22:00,12:32:00
13:03:00,13:05:00,13:13:00,13:16:00,13:22:00,13:32:00
14:03:00,14:05:00,14:13:00,14:16:00,14:22:00,14:32:00
15:03:00,15:05:00,15:13:00,15:16:00,15:22:00,15:32:00
16:03:00,16:05:00,16:13:00,16:16:00,16:22:00,16:32:00
17:03:00,17:05:00,17:13:00,17:16:00,17:22:00,17:32:00
18:03:00,18:05:00,18:13:00,18:16:00,18:22:00,18:32:00
19:03:00,19:05:00,19:13:00,19:16:00,19:22:00,19:32:00
20:03:00,20:05:00,20:13:00,20:16:00,20:22:00,20:32:00
21:03:00,21:05:00,21:13:00,21:16:00,21:22:00,21:32:00

Block: 253-----------------------
