hawkct2_cc,hawklot1_cc,hawkdr1_cc,shosp_cc,hardlib_cc,merf_cc

Block: 361-----------------------
06:05:00,06:07:00,06:10:00,06:17:00,06:22:00,06:23:00
06:35:00,06:37:00,06:40:00,06:47:00,06:52:00,06:53:00
07:05:00,07:07:00,07:10:00,07:17:00,07:22:00,07:23:00
07:35:00,07:37:00,07:40:00,07:47:00,07:52:00,07:53:00
08:05:00,08:07:00,08:10:00,08:17:00,08:22:00,08:23:00
08:35:00,08:37:00,08:40:00,08:47:00,08:52:00,08:53:00
09:05:00,09:17:00,09:20:00,09:27:00,09:32:00,09:33:00
09:45:00,09:47:00,09:50:00,09:57:00,10:02:00,10:03:00
10:15:00,10:17:00,10:20:00,10:27:00,10:32:00,10:33:00
10:45:00,10:47:00,10:50:00,10:57:00,11:02:00,11:03:00
11:15:00,11:17:00,11:20:00,11:27:00,11:32:00,11:33:00
11:45:00,11:47:00,11:50:00,--,--,--

Block: 362-----------------------
06:20:00,06:22:00,06:25:00,06:32:00,06:37:00,06:38:00
06:50:00,06:52:00,06:55:00,07:02:00,07:07:00,07:08:00
07:20:00,07:22:00,07:25:00,07:32:00,07:37:00,07:38:00
07:50:00,07:52:00,07:55:00,08:02:00,08:07:00,08:08:00
08:20:00,08:22:00,08:25:00,08:32:00,08:37:00,08:38:00
